County,Precinct,Office,Dist,Party,Candidate,Vote
San Juan,Lopez 1 Northend,Voters,,,Registered,840
San Juan,Lopez 1 Northend,Voters,,,Ballots,756
San Juan,Lopez 2 Southend,President,,D,Al Gore,371
San Juan,Lopez 2 Southend,President,,R,George Bush,175
San Juan,Lopez 2 Southend,President,,L,Harry Browne,4
San Juan,Lopez 2 Southend,President,,G,Ralph Nader,80
San Juan,Lopez 2 Southend,President,,WW,Monica Moorehead,1
San Juan,Lopez 2 Southend,President,,,write-in,3
San Juan,Lopez 2 Southend,President,,F,Pat Buchanan,2
San Juan,Lopez 2 Southend,President,,NL,John Hagelin,1
San Juan,Lopez 2 Southend,U S Senate,,D,Maria Cantwell,394
San Juan,Lopez 2 Southend,U S Senate,,R,Slade Gorton,219
San Juan,Lopez 2 Southend,U S Senate,,L,Jeff Jared,19
San Juan,Lopez 2 Southend,U S Senate,,,write-in,1
San Juan,Lopez 2 Southend,Congress 2,2,D,Rick Larsen,402
San Juan,Lopez 2 Southend,Congress 2,2,R,John Koster,174
San Juan,Lopez 2 Southend,Congress 2,2,L,Stewart Andrews,18
San Juan,Lopez 2 Southend,Congress 2,2,NL,Glen Johnson,21
San Juan,Lopez 2 Southend,Governor,,D,Gary Locke,454
San Juan,Lopez 2 Southend,Governor,,R,John Carlson,154
San Juan,Lopez 2 Southend,Governor,,L,Steve LePage,20
San Juan,Lopez 2 Southend,Governor,,,write-in,1
San Juan,Lopez 2 Southend,Senate 40,40,D,Harriet Spanel,433
San Juan,Lopez 2 Southend,Senate 40,40,R,Jerry Ferrier,131
San Juan,Lopez 2 Southend,Senate 40,40,L,Ian Bannerman,41
San Juan,Lopez 2 Southend,Rep 40-1,40,D,Dave Quall,451
San Juan,Lopez 2 Southend,Rep 40-1,40,L,Mark Leigh,117
San Juan,Lopez 2 Southend,Rep 40-1,40,,write-in,2
San Juan,Lopez 2 Southend,Rep 40-2,40,D,Jeff Morris,416
San Juan,Lopez 2 Southend,Rep 40-2,40,R,Bruce Ayers,131
San Juan,Lopez 2 Southend,Rep 40-2,40,L,Charles Mann,36
San Juan,Lopez 2 Southend,Rep 40-2,40,,write-in,1
San Juan,Lopez 2 Southend,Voters,,,Registered,727
San Juan,Lopez 2 Southend,Voters,,,Ballots,642
San Juan,Stuart Island,President,,D,Al Gore,17
San Juan,Stuart Island,President,,R,George Bush,17
San Juan,Stuart Island,President,,G,Ralph Nader,3
San Juan,Stuart Island,U S Senate,,D,Maria Cantwell,11
San Juan,Stuart Island,U S Senate,,R,Slade Gorton,24
San Juan,Stuart Island,U S Senate,,L,Jeff Jared,2
San Juan,Stuart Island,Congress 2,2,D,Rick Larsen,14
San Juan,Stuart Island,Congress 2,2,R,John Koster,17
San Juan,Stuart Island,Congress 2,2,L,Stewart Andrews,3
San Juan,Stuart Island,Congress 2,2,NL,Glen Johnson,1
San Juan,Stuart Island,Governor,,D,Gary Locke,20
San Juan,Stuart Island,Governor,,R,John Carlson,15
San Juan,Stuart Island,Governor,,L,Steve LePage,2
San Juan,Stuart Island,Senate 40,40,D,Harriet Spanel,22
San Juan,Stuart Island,Senate 40,40,R,Jerry Ferrier,12
San Juan,Stuart Island,Senate 40,40,L,Ian Bannerman,3
San Juan,Stuart Island,Rep 40-1,40,D,Dave Quall,22
San Juan,Stuart Island,Rep 40-1,40,L,Mark Leigh,12
San Juan,Stuart Island,Rep 40-2,40,D,Jeff Morris,19
San Juan,Stuart Island,Rep 40-2,40,R,Bruce Ayers,14
San Juan,Stuart Island,Rep 40-2,40,L,Charles Mann,3
San Juan,Stuart Island,Voters,,,Registered,42
San Juan,Stuart Island,Voters,,,Ballots,37
San Juan,Waldron Island,President,,D,Al Gore,56
San Juan,Waldron Island,President,,R,George Bush,5
San Juan,Waldron Island,President,,L,Harry Browne,1
San Juan,Waldron Island,President,,G,Ralph Nader,26
San Juan,Waldron Island,U S Senate,,D,Maria Cantwell,77
San Juan,Waldron Island,U S Senate,,R,Slade Gorton,7
San Juan,Waldron Island,U S Senate,,L,Jeff Jared,3
San Juan,Waldron Island,Congress 2,2,D,Rick Larsen,74
San Juan,Waldron Island,Congress 2,2,R,John Koster,5
San Juan,Waldron Island,Congress 2,2,L,Stewart Andrews,2
San Juan,Waldron Island,Congress 2,2,NL,Glen Johnson,3
San Juan,Waldron Island,Governor,,D,Gary Locke,76
San Juan,Waldron Island,Governor,,R,John Carlson,5
San Juan,Waldron Island,Governor,,L,Steve LePage,4
San Juan,Waldron Island,Senate 40,40,D,Harriet Spanel,81
San Juan,Waldron Island,Senate 40,40,R,Jerry Ferrier,2
San Juan,Waldron Island,Senate 40,40,L,Ian Bannerman,2
San Juan,Waldron Island,Rep 40-1,40,D,Dave Quall,78
San Juan,Waldron Island,Rep 40-1,40,L,Mark Leigh,2
San Juan,Waldron Island,Rep 40-2,40,D,Jeff Morris,79
San Juan,Waldron Island,Rep 40-2,40,R,Bruce Ayers,3
San Juan,Waldron Island,Rep 40-2,40,L,Charles Mann,1
San Juan,Waldron Island,Voters,,,Registered,93
San Juan,Waldron Island,Voters,,,Ballots,88
