PRECINCT,POSITION,DISTRICT CODE,PARTY,CANDIDATE NAME,VOTES
3164,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,636
3165,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,707
4000,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,888
4001,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1174
4002,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1277
4003,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,976
4004,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,762
4005,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1128
4006,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,999
4007,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,554
4008,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,469
4009,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,723
4010,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,536
4011,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,938
4012,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,961
4013,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,680
4014,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,474
4015,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,980
4016,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1226
4017,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,834
4018,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,600
4019,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,634
4020,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,906
4021,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,834
4022,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,804
4023,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,195
4024,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,945
4025,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1048
4026,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,641
4027,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,519
4028,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1025
4029,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,685
4100,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,5
4101,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,169
4200,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,634
4201,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,396
4300,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1782
4301,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1389
4400,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,806
4401,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,956
4402,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,834
4403,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1018
4404,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1269
4405,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,740
4406,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1153
4407,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,957
4408,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,990
4409,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1095
4410,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1815
4411,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,657
4412,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1317
4413,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,985
4414,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1002
4415,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1348
4416,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1081
4417,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1150
4418,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1594
4419,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,950
4420,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,897
4421,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,710
4422,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,820
4423,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1113
4424,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,820
4425,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,694
4426,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1207
4427,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,992
4428,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1632
4429,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1116
4430,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,981
4431,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,739
4432,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1058
4433,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1072
4434,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1133
4435,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,846
4436,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1051
4437,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1332
4438,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,658
4439,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1157
4440,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1346
4441,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,597
6000,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,795
6001,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1501
6002,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,808
6003,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,643
6004,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,743
6005,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1398
6006,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,730
6007,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,587
6008,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,327
6009,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1321
6010,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,783
6011,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,562
6012,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,617
6014,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,913
6015,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,952
6016,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,605
6017,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,75
6018,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,852
6019,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,945
6020,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1280
6021,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,44
6022,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,827
6023,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1049
6024,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,859
6025,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,193
6026,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,492
6027,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,739
6028,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,174
6029,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,670
6030,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,635
6031,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,802
6032,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,722
6033,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,816
6034,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,631
6035,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,742
6036,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,722
6037,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,732
6038,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,629
6039,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,685
6100,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1120
6101,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1023
6102,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,801
6103,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1031
6104,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1009
6105,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1574
6106,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1206
6107,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,768
6108,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,903
6109,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,811
6110,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,735
6111,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,725
6112,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,994
6113,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,768
6114,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,753
6115,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,560
6116,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1887
6117,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,876
6118,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,726
6119,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,987
6120,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,875
6121,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,813
6122,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,626
6123,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,957
6124,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,889
6125,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,943
6126,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,978
6127,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1026
6128,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1081
6129,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,897
6130,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,646
6131,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,541
6132,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,912
6133,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1082
6134,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,203
6135,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1422
6136,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1226
6137,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1512
6138,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,900
6139,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,726
6140,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1610
6141,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1047
6142,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,731
6143,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,703
6144,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,984
6145,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,872
6146,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,978
6147,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,890
6148,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,693
6149,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,891
6150,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,583
6151,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1553
6400,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,566
7000,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1001
7001,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1044
7002,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,666
7003,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,425
7004,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,672
7005,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,667
7006,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,794
7007,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1075
7008,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1264
7009,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,588
7010,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,994
7011,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,889
7012,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,804
7100,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,756
7101,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,303
7200,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,720
7300,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1021
7301,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,632
9000,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,465
9001,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,346
9002,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,160
9003,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1325
9004,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,702
9005,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,830
9006,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,686
9007,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1221
9008,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,620
9009,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,916
9010,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,807
9011,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,317
9012,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,186
9013,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,279
9014,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,435
9015,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1207
9016,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,140
9017,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,207
9018,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,388
9019,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,722
9020,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,223
9100,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1162
9101,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,770
9200,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,706
9201,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,828
9202,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,663
9203,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1138
9300,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,171
9400,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,67
9500,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,328
9600,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,119
9700,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,254
3100,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,342
3101,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,309
3102,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,468
3103,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,319
3104,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,373
3105,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,405
3106,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,430
3107,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,467
3108,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,623
3109,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,515
3110,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,447
3111,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,497
3112,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,425
3113,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,270
3114,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,332
3115,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,344
3116,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,455
3117,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,474
3118,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,406
3119,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,465
3120,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,500
3121,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,434
3122,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,385
3123,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,385
3124,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,593
3125,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,438
3126,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,644
3127,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,753
3128,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,443
3129,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,680
3130,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,315
3131,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,457
3132,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,478
3133,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,452
3134,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,604
3135,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,421
3136,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,434
3137,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,395
3138,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,466
