number,precinct,office,district,party,office,votes
82702053,Chop Lake 053,,,,Registered,1632
82702054,Little Mashel 054,,,,Registered,323
82702055,E Eatonville 055,,,,Registered,44
82702056,Alder Lake 056,,,,Registered,462
82702057,W Mt Rainier 057,,,,Registered,260
82702058,Mt Rainier 058,,,,Registered,11
82702059,Alderton 059,,,,Registered,1836
82702060,Alderton 060,,,,Registered,1332
82702061,Alderton 061,,,,Registered,199
82702062,Alderton 062,,,,Registered,859
82702063,Orting Lake 063,,,,Registered,581
82702064,Carbon River 064,,,,Registered,679
92702065,Fort Lewis 065,,,,Registered,1
92725101,Puyallup 101,,,,Registered,345
92725102,Puyallup 102,,,,Registered,1558
92725103,Puyallup 103,,,,Registered,1291
92725104,Puyallup 104,,,,Registered,1213
92725105,Puyallup 105,,,,Registered,1231
92725106,Puyallup 106,,,,Registered,1789
92725107,Puyallup 107,,,,Registered,2240
92725108,Puyallup 108,,,,Registered,2175
92725109,Puyallup 109,,,,Registered,1557
92725110,Puyallup 110,,,,Registered,1461
92725111,Puyallup 111,,,,Registered,2011
92725112,Puyallup 112,,,,Registered,1367
92725116,Fife 116,,,,Registered,698
92725117,Fife 117,,,,Registered,443
92725118,Fife 118,,,,Registered,545
92725121,Milton 121,,,,Registered,901
92725122,Milton 122,,,,Registered,1024
92725123,Milton 123,,,,Registered,908
92725124,Milton 124,,,,Registered,206
62725127,Tacoma 127,,,,Registered,2
92725128,Sumner 128,,,,Registered,2
92725129,Sumner129,,,,Registered,3
92725130,Edgewood 130,,,,Registered,17
92725131,Edgewood 131,,,,Registered,112
92725132,Edgewood 132,,,,Registered,1322
92725135,135,,,,Registered,5
92725136,136,,,,Registered,41
92725137,137,,,,Registered,1080
92725138,138,,,,Registered,1441
92725139,139,,,,Registered,1115
92725140,140,,,,Registered,1888
62725141,141,,,,Registered,1403
62725142,142,,,,Registered,33
62725143,143,,,,Registered,1580
92725144,144,,,,Registered,438
92725145,145,,,,Registered,1605
92725146,146,,,,Registered,1249
92725147,147,,,,Registered,1818
92725148,148,,,,Registered,1474
92725149,149,,,,Registered,145
92725150,150,,,,Registered,1159
92725151,151,,,,Registered,1806
92725152,152,,,,Registered,1824
92725153,153,,,,Registered,1490
92725154,154,,,,Registered,88
92725155,Spanaway 155,,,,Registered,872
92725156,Spanaway 156,,,,Registered,1407
92725157,Spanaway 157,,,,Registered,1282
92725158,Spanaway 158,,,,Registered,186
92725159,Spanaway 159,,,,Registered,829
82725160,160,,,,Registered,792
82725161,161,,,,Registered,665
82725162,162,,,,Registered,1916
82725163,163,,,,Registered,1627
82725164,164,,,,Registered,1759
82725165,165,,,,Registered,150
82725166,166,,,,Registered,2330
82725167,167,,,,Registered,610
82725168,168,,,,Registered,1631
82725169,169,,,,Registered,530
82725170,170,,,,Registered,1460
82725171,171,,,,Registered,2125
82725172,172,,,,Registered,1766
82725173,173,,,,Registered,712
82725174,174,,,,Registered,1078
82725177,177,,,,Registered,31
82725179,179,,,,Registered,20
92725180,180,,,,Registered,930
92725181,181,,,,Registered,76
62726201,Gig Harbor 201,,,,Registered,2197
62726201,Gig Harbor 202,,,,Registered,1790
62726211,Lakebay 211,,,,Registered,1888
62726212,Lakebay 212,,,,Registered,2542
62726213,Lakebay 213,,,,Registered,2375
62726214,Lakebay 214,,,,Registered,2338
62726215,Herron Island 215,,,,Registered,96
62726216,S Kitsap Penin 216,,,,Registered,2341
62726217,S Kitsap Penin 217,,,,Registered,1190
62726218,S Kitsap Penin 218,,,,Registered,1412
62726219,S Kitsap Penin 219,,,,Registered,1885
62726220,S Kitsap Penin 220,,,,Registered,259
62726221,S Kitsap Penin 221,,,,Registered,1926
62726222,S Kitsap Penin 222,,,,Registered,1215
62726223,SKP Raft Island 223,,,,Registered,1472
62726224,S Kitsap Penin 224,,,,Registered,156
62726225,S Kitsap Penin 225,,,,Registered,1732
62726226,S Kitsap Penin 226,,,,Registered,2328
62726227,Fox Island 227,,,,Registered,2461
62726228,S Kitsap Penin 228,,,,Registered,1640
62726229,S Kitsap Penin 229,,,,Registered,1478
62726230,S Kitsap Penin 230,,,,Registered,1796
62727301,Tacoma 301,,,,Registered,1657
62727302,Tacoma 302,,,,Registered,2104
62727303,Tacoma 303,,,,Registered,2100
62727304,Tacoma 304,,,,Registered,2237
62727305,Tacoma 305,,,,Registered,1851
62727306,Tacoma 306,,,,Registered,2158
62727307,Tacoma 307,,,,Registered,2059
62727308,Tacoma 308,,,,Registered,1220
62727309,Tacoma 309,,,,Registered,1666
62727310,Tacoma 310,,,,Registered,994
62727311,Tacoma 311,,,,Registered,1104
62727312,Tacoma 312,,,,Registered,1038
62727313,Tacoma 313,,,,Registered,1658
62727314,Tacoma 314,,,,Registered,1621
62727315,Tacoma 315,,,,Registered,1222
62727316,Tacoma 316,,,,Registered,1138
62727317,Tacoma 317,,,,Registered,490
62727318,Tacoma 318,,,,Registered,1717
62727319,Tacoma 319,,,,Registered,1627
62727321,Tacoma 321,,,,Registered,1495
62727322,Tacoma 322,,,,Registered,1390
62727323,Tacoma 323,,,,Registered,1326
62727324,Tacoma 324,,,,Registered,1428
62727325,Tacoma 325,,,,Registered,1292
62727326,Tacoma 326,,,,Registered,1415
62727327,Tacoma 327,,,,Registered,680
92727328,Tacoma 328,,,,Registered,148
92727329,Tacoma 329,,,,Registered,43
92727330,Tacoma 330,,,,Registered,3
92727331,Tacoma 331,,,,Registered,1
92727332,Tacoma 332,,,,Registered,1880
92727333,Tacoma 333,,,,Registered,1902
92727334,Tacoma 334,,,,Registered,1860
92727335,Tacoma 335,,,,Registered,1819
92727336,Tacoma 336,,,,Registered,1326
62727337,Tacoma 337,,,,Registered,630
62727338,Tacoma 338,,,,Registered,1879
62727339,Tacoma 339,,,,Registered,1157
62727340,Tacoma 340,,,,Registered,621
62727341,Tacoma 341,,,,Registered,1476
62727342,Tacoma 342,,,,Registered,1157
62727343,Tacoma 343,,,,Registered,72
62727344,Tacoma 344,,,,Registered,254
62727345,Tacoma 345,,,,Registered,1659
62727351,Ruston 351,,,,Registered,480
92727352,Fife 352,,,,Registered,288
92727353,Milton 353,,,,Registered,16
92727354,Fife 354,,,,Registered,4
92727356,Brown's Point 356,,,,Registered,1478
92727357,Hylebo 357,,,,Registered,998
92727358,Hylebo 358,,,,Registered,109
62727359,359,,,,Registered,2
62728401,Tacoma 401,,,,Registered,1751
62728402,Tacoma 402,,,,Registered,1395
62728403,Tacoma 403,,,,Registered,1939
62728404,Tacoma 404,,,,Registered,2066
62728405,Tacoma 405,,,,Registered,479
62728411,Fircrest 411,,,,Registered,1503
62728412,Fircrest 412,,,,Registered,2192
62728413,Fircrest 413,,,,Registered,315
62728416,Univ Place 416,,,,Registered,1678
62728417,Univ Place 417,,,,Registered,1372
62728418,Univ Place 418,,,,Registered,1723
62728419,Univ Place 419,,,,Registered,1710
62728420,Univ Place 420,,,,Registered,2209
62728421,Univ Place 421,,,,Registered,1929
62728422,Univ Place 422,,,,Registered,1973
62728423,Univ Place 423,,,,Registered,2276
62728424,Univ Place 424,,,,Registered,1646
62728425,Univ Place 426,,,,Registered,2
62728426,Lakewood 430,,,,Registered,1861
62728427,Lakewood 431,,,,Registered,1096
92728432,Lakewood 432,,,,Registered,986
92728433,Lakewood 433,,,,Registered,1834
92728434,Lakewood 434,,,,Registered,1561
92728435,Lakewood 435,,,,Registered,1188
92728436,Lakewood 436,,,,Registered,1638
62728437,Lakewood 437,,,,Registered,1382
92728438,Lakewood 438,,,,Registered,1799
92728439,Lakewood 439,,,,Registered,1817
62728440,Lakewood 440,,,,Registered,408
62728441,Lakewood 441,,,,Registered,254
62728442,Lakewood 442,,,,Registered,13
92728443,Lakewood 443,,,,Registered,1023
92728444,Lakewood 444,,,,Registered,1290
92728451,Steilacoom  451,,,,Registered,579
92728452,Steilacoom 452,,,,Registered,1322
92728453,Steilacoom 453,,,,Registered,1716
92728457,Dupont 457,,,,Registered,96
92728458,Dupont 458,,,,Registered,2385
62728460,460,,,,Registered,20
92728461,McNeill Island 461,,,,Registered,37
92728462,Anderson Island 462,,,,Registered,735
92728463,Ketron Island 463,,,,Registered,21
92728464,464,,,,Registered,1390
92728465,Fort Lewis 465,,,,Registered,1006
92728467,McChord 467,,,,Registered,446
92728469,Fort Lewis 469,,,,Registered,276
92728470,Nisqually rural 470,,,,Registered,45
62729500,Tacoma 500,,,,Registered,2
62729501,Tacoma 501,,,,Registered,1607
62729502,Tacoma 502,,,,Registered,1617
62729503,Tacoma 503,,,,Registered,1165
62729504,Tacoma 504,,,,Registered,1375
62729505,Tacoma 505,,,,Registered,1249
62729506,Tacoma 506,,,,Registered,1446
62729507,Tacoma 507,,,,Registered,1608
62729508,Tacoma 508,,,,Registered,155
62729509,Tacoma 509,,,,Registered,1021
62729510,Tacoma 510,,,,Registered,1770
62729511,Tacoma 511,,,,Registered,1552
62729512,Tacoma 512,,,,Registered,1320
62729513,Tacoma 513,,,,Registered,1285
62729515,Tacoma 515,,,,Registered,854
62729516,Tacoma 516,,,,Registered,1565
62729517,Tacoma 517,,,,Registered,1817
62729518,Tacoma 518,,,,Registered,1390
62729519,Tacoma 519,,,,Registered,350
62729520,Tacoma 520,,,,Registered,1301
62729521,Tacoma 521,,,,Registered,1230
62729522,Tacoma 522,,,,Registered,1009
62729523,Tacoma 523,,,,Registered,21
62729530,Univ Place 530,,,,Registered,540
62729531,Lakewood 531,,,,Registered,14
62729532,Lakewood 532,,,,Registered,1341
62729533,Lakewood 533,,,,Registered,1207
62729534,Lakewood 534,,,,Registered,1340
62729535,Lakewood 535,,,,Registered,1063
62729536,Lakewood 536,,,,Registered,1195
92729537,Lakewood 537,,,,Registered,562
62729538,Lakewood 538,,,,Registered,87
62729545,Lakewood 545,,,,Registered,174
62729546,546,,,,Registered,83
62729548,548,,,,Registered,28
62729549,549,,,,Registered,623
62729550,550,,,,Registered,1092
62729551,551,,,,Registered,24
62729552,552,,,,Registered,73
62729553,553,,,,Registered,470
62729554,554,,,,Registered,423
62729555,Parkland 555,,,,Registered,1362
62729556,Parkland 556,,,,Registered,1295
62729557,Parkland 557,,,,Registered,15
62729558,Parkland 558,,,,Registered,1099
62729559,Parkland 559,,,,Registered,854
62729560,Parkland 560,,,,Registered,1661
62729561,561,,,,Registered,7
62729562,562,,,,Registered,35
92729563,563,,,,Registered,826
92729564,564,,,,Registered,1440
92729565,565,,,,Registered,719
62729566,566,,,,Registered,10
92731601,Edgewood 601,,,,Registered,491
92731602,Edgewood 602,,,,Registered,1756
92731603,Edgewood 603,,,,Registered,1852
92731604,Edgewood 604,,,,Registered,450
92731608,Pacific 608,,,,Registered,47
92731611,Sumner 611,,,,Registered,10
92731612,Sumner 612,,,,Registered,11
92731613,Sumner 613,,,,Registered,30
92731614,Sumner 614,,,,Registered,1431
92731615,Sumner 615,,,,Registered,1358
92731616,Sumner 616,,,,Registered,1662
82731617,Sumner 617,,,,Registered,3
82731618,Auburn 618,,,,Registered,0
82731619,Auburn 619,,,,Registered,1923
82731621,Bonney Lake 621,,,,Registered,1360
82731622,Bonney Lake 622,,,,Registered,2554
82731623,Bonney Lake 623,,,,Registered,1209
82731624,Bonney Lake 624,,,,Registered,1303
82731625,Bonney Lake 625,,,,Registered,1202
82731626,Bonney Lake 626,,,,Registered,261
82731627,Buckley 627,,,,Registered,679
82731628,Buckley 628,,,,Registered,1595
82731629,South Prairie city 629,,,,Registered,276
82731630,Wilkeson 630,,,,Registered,278
92731631,Puyallup 631,,,,Registered,11
92731636,Sumner 636,,,,Registered,5
82731638,Lake Tapps 638,,,,Registered,886
82731639,Lake Tapps 639,,,,Registered,835
82731640,Lake Tapps 640,,,,Registered,1701
82731641,Lake Tapps 641,,,,Registered,146
82731642,Lake Tapps 642,,,,Registered,907
92731643,643,,,,Registered,117
92731644,644,,,,Registered,232
82731645,645,,,,Registered,431
82731646,646,,,,Registered,481
82731647,647,,,,Registered,30
82731648,648,,,,Registered,297
82731649,649,,,,Registered,228
82731650,Lake Tapps 650,,,,Registered,848
82731651,Lake Tapps 651,,,,Registered,672
82731652,Lake Tapps 652,,,,Registered,1039
82731653,Lake Tapps 653,,,,Registered,1143
82731654,654,,,,Registered,252
82731655,655,,,,Registered,864
82731656,656,,,,Registered,402
82731657,657,,,,Registered,808
82731658,658,,,,Registered,2009
82731659,659,,,,Registered,1617
82731660,660,,,,Registered,544
82731661,661,,,,Registered,345
82731662,662,,,,Registered,544
82731663,663,,,,Registered,396
82731664,664,,,,Registered,427
82731665,665,,,,Registered,783
82731666,South Prairie 666,,,,Registered,553
82731667,South Prairie 667,,,,Registered,771
82731668,SP wilkeson rural 668,,,,Registered,233
82731669,SP wilkeson rural 669,,,,Registered,48
82731670,South Prairie 670,,,,Registered,315
82731671,Snoqualmie 671,,,,Registered,7
82731672,672,,,,Registered,202
82731673,Crystal Mtn 673,,,,Registered,32
,,,,,,
92702001,Roy 1,,,,Ballots,180
82702002,Orting 2,,,,Ballots,644
82702003,Orting 3,,,,Ballots,738
82702004,Wilkeson 4,,,,Ballots,2
82702005,Carbonado 5,,,,Ballots,185
82702006,Eatonville 6,,,,Ballots,791
92702011,Spanaway 011,,,,Ballots,696
92702012,Spanaway 012,,,,Ballots,538
92702013,Spanaway 013,,,,Ballots,52
92702014,Spanaway 014,,,,Ballots,646
92702015,Spanaway 015,,,,Ballots,499
92702016,Spanaway 016,,,,Ballots,513
92702017,Spanaway 017,,,,Ballots,1013
92702018,Spanaway 018,,,,Ballots,696
92702019,Spanaway 019,,,,Ballots,672
92702020,Frederickson 020,,,,Ballots,337
82702021,Frederickson 021,,,,Ballots,50
82702022,Frederickson 022,,,,Ballots,338
82702023,Frederickson 023,,,,Ballots,572
92702024,Frederickson 024,,,,Ballots,305
82702025,Frederickson 025,,,,Ballots,1224
82702026,Graham 026,,,,Ballots,1078
92702027,Graham 027,,,,Ballots,598
92702028,Graham 028,,,,Ballots,787
92702029,Graham 029,,,,Ballots,91
92702030,Graham 030,,,,Ballots,344
92702031,Graham 031,,,,Ballots,239
92702032,Graham 032,,,,Ballots,218
92702033,Graham 033,,,,Ballots,613
92702034,Graham 034,,,,Ballots,808
82702035,Graham 035,,,,Ballots,345
92702036,E Roy 036,,,,Ballots,426
92702037,E Graham 037,,,,Ballots,784
92702038,Graham 038,,,,Ballots,818
82702039,Graham 039,,,,Ballots,1209
92702040,Yelm rural Brighton 040,,,,Ballots,936
92702041,Yelm rural Harts Lake 041,,,,Ballots,409
92702042,Graham 042,,,,Ballots,573
92702043,Yelm rural Kruger 043,,,,Ballots,298
82702044,Graham 044,,,,Ballots,1056
82702045,Graham 045,,,,Ballots,1192
82702046,Alderton 046,,,,Ballots,142
82702047,Graham 047,,,,Ballots,593
82702048,Graham 048,,,,Ballots,1329
82702049,Voights Creek 049,,,,Ballots,680
82702050,Lake Kapowsin 050,,,,Ballots,837
82702051,Kings Creek 051,,,,Ballots,114
82702052,Graham Tanwax Lake 052,,,,Ballots,649
82702053,Chop Lake 053,,,,Ballots,1015
82702054,Little Mashel 054,,,,Ballots,196
82702055,E Eatonville 055,,,,Ballots,23
82702056,Alder Lake 056,,,,Ballots,292
82702057,W Mt Rainier 057,,,,Ballots,172
82702058,Mt Rainier 058,,,,Ballots,6
82702059,Alderton 059,,,,Ballots,1147
82702060,Alderton 060,,,,Ballots,792
82702061,Alderton 061,,,,Ballots,134
82702062,Alderton 062,,,,Ballots,558
82702063,Orting Lake 063,,,,Ballots,298
82702064,Carbon River 064,,,,Ballots,336
92702065,Fort Lewis 065,,,,Ballots,0
92725101,Puyallup 101,,,,Ballots,151
92725102,Puyallup 102,,,,Ballots,945
92725103,Puyallup 103,,,,Ballots,798
92725104,Puyallup 104,,,,Ballots,690
92725105,Puyallup 105,,,,Ballots,630
92725106,Puyallup 106,,,,Ballots,1159
92725107,Puyallup 107,,,,Ballots,1237
92725108,Puyallup 108,,,,Ballots,1257
92725109,Puyallup 109,,,,Ballots,911
92725110,Puyallup 110,,,,Ballots,796
92725111,Puyallup 111,,,,Ballots,1095
92725112,Puyallup 112,,,,Ballots,845
92725116,Fife 116,,,,Ballots,367
92725117,Fife 117,,,,Ballots,215
92725118,Fife 118,,,,Ballots,299
92725121,Milton 121,,,,Ballots,499
92725122,Milton 122,,,,Ballots,637
92725123,Milton 123,,,,Ballots,545
92725124,Milton 124,,,,Ballots,119
62725127,Tacoma 127,,,,Ballots,0
92725128,Sumner 128,,,,Ballots,2
92725129,Sumner129,,,,Ballots,2
92725130,Edgewood 130,,,,Ballots,9
92725131,Edgewood 131,,,,Ballots,76
92725132,Edgewood 132,,,,Ballots,874
92725135,135,,,,Ballots,2
92725136,136,,,,Ballots,29
92725137,137,,,,Ballots,661
92725138,138,,,,Ballots,864
92725139,139,,,,Ballots,665
92725140,140,,,,Ballots,1158
62725141,141,,,,Ballots,668
62725142,142,,,,Ballots,20
62725143,143,,,,Ballots,796
92725144,144,,,,Ballots,253
92725145,145,,,,Ballots,1078
92725146,146,,,,Ballots,700
92725147,147,,,,Ballots,1072
92725148,148,,,,Ballots,793
92725149,149,,,,Ballots,55
92725150,150,,,,Ballots,650
92725151,151,,,,Ballots,1091
92725152,152,,,,Ballots,963
92725153,153,,,,Ballots,856
92725154,154,,,,Ballots,52
92725155,Spanaway 155,,,,Ballots,563
92725156,Spanaway 156,,,,Ballots,759
92725157,Spanaway 157,,,,Ballots,737
92725158,Spanaway 158,,,,Ballots,109
92725159,Spanaway 159,,,,Ballots,456
82725160,160,,,,Ballots,453
82725161,161,,,,Ballots,340
82725162,162,,,,Ballots,1085
82725163,163,,,,Ballots,776
82725164,164,,,,Ballots,918
82725165,165,,,,Ballots,79
82725166,166,,,,Ballots,1327
82725167,167,,,,Ballots,330
82725168,168,,,,Ballots,891
82725169,169,,,,Ballots,249
82725170,170,,,,Ballots,784
82725171,171,,,,Ballots,1160
82725172,172,,,,Ballots,1017
82725173,173,,,,Ballots,368
82725174,174,,,,Ballots,692
82725177,177,,,,Ballots,19
82725179,179,,,,Ballots,15
92725180,180,,,,Ballots,533
92725181,181,,,,Ballots,37
62726201,Gig Harbor 201,,,,Ballots,1578
62726201,Gig Harbor 202,,,,Ballots,1305
62726211,Lakebay 211,,,,Ballots,1182
62726212,Lakebay 212,,,,Ballots,1561
62726213,Lakebay 213,,,,Ballots,1575
62726214,Lakebay 214,,,,Ballots,1566
62726215,Herron Island 215,,,,Ballots,78
62726216,S Kitsap Penin 216,,,,Ballots,1652
62726217,S Kitsap Penin 217,,,,Ballots,801
62726218,S Kitsap Penin 218,,,,Ballots,972
62726219,S Kitsap Penin 219,,,,Ballots,1330
62726220,S Kitsap Penin 220,,,,Ballots,197
62726221,S Kitsap Penin 221,,,,Ballots,1258
62726222,S Kitsap Penin 222,,,,Ballots,830
62726223,SKP Raft Island 223,,,,Ballots,1078
62726224,S Kitsap Penin 224,,,,Ballots,118
62726225,S Kitsap Penin 225,,,,Ballots,1216
62726226,S Kitsap Penin 226,,,,Ballots,1633
62726227,Fox Island 227,,,,Ballots,1775
62726228,S Kitsap Penin 228,,,,Ballots,1197
62726229,S Kitsap Penin 229,,,,Ballots,1127
62726230,S Kitsap Penin 230,,,,Ballots,1215
62727301,Tacoma 301,,,,Ballots,1125
62727302,Tacoma 302,,,,Ballots,1456
62727303,Tacoma 303,,,,Ballots,1249
62727304,Tacoma 304,,,,Ballots,1438
62727305,Tacoma 305,,,,Ballots,1244
62727306,Tacoma 306,,,,Ballots,1445
62727307,Tacoma 307,,,,Ballots,1342
62727308,Tacoma 308,,,,Ballots,834
62727309,Tacoma 309,,,,Ballots,1156
62727310,Tacoma 310,,,,Ballots,709
62727311,Tacoma 311,,,,Ballots,594
62727312,Tacoma 312,,,,Ballots,649
62727313,Tacoma 313,,,,Ballots,1054
62727314,Tacoma 314,,,,Ballots,1025
62727315,Tacoma 315,,,,Ballots,799
62727316,Tacoma 316,,,,Ballots,661
62727317,Tacoma 317,,,,Ballots,251
62727318,Tacoma 318,,,,Ballots,1041
62727319,Tacoma 319,,,,Ballots,884
62727321,Tacoma 321,,,,Ballots,779
62727322,Tacoma 322,,,,Ballots,709
62727323,Tacoma 323,,,,Ballots,630
62727324,Tacoma 324,,,,Ballots,592
62727325,Tacoma 325,,,,Ballots,692
62727326,Tacoma 326,,,,Ballots,510
62727327,Tacoma 327,,,,Ballots,171
92727328,Tacoma 328,,,,Ballots,77
92727329,Tacoma 329,,,,Ballots,24
92727330,Tacoma 330,,,,Ballots,3
92727331,Tacoma 331,,,,Ballots,0
92727332,Tacoma 332,,,,Ballots,1056
92727333,Tacoma 333,,,,Ballots,1239
92727334,Tacoma 334,,,,Ballots,1232
92727335,Tacoma 335,,,,Ballots,1121
92727336,Tacoma 336,,,,Ballots,649
62727337,Tacoma 337,,,,Ballots,325
62727338,Tacoma 338,,,,Ballots,907
62727339,Tacoma 339,,,,Ballots,451
62727340,Tacoma 340,,,,Ballots,370
62727341,Tacoma 341,,,,Ballots,696
62727342,Tacoma 342,,,,Ballots,495
62727343,Tacoma 343,,,,Ballots,29
62727344,Tacoma 344,,,,Ballots,92
62727345,Tacoma 345,,,,Ballots,714
62727351,Ruston 351,,,,Ballots,296
92727352,Fife 352,,,,Ballots,112
92727353,Milton 353,,,,Ballots,11
92727354,Fife 354,,,,Ballots,3
92727356,Brown's Point 356,,,,Ballots,1067
92727357,Hylebo 357,,,,Ballots,605
92727358,Hylebo 358,,,,Ballots,57
62727359,359,,,,Ballots,2
62728401,Tacoma 401,,,,Ballots,1267
62728402,Tacoma 402,,,,Ballots,843
62728403,Tacoma 403,,,,Ballots,1365
62728404,Tacoma 404,,,,Ballots,1188
62728405,Tacoma 405,,,,Ballots,273
62728411,Fircrest 411,,,,Ballots,960
62728412,Fircrest 412,,,,Ballots,1496
62728413,Fircrest 413,,,,Ballots,190
62728416,Univ Place 416,,,,Ballots,1227
62728417,Univ Place 417,,,,Ballots,879
62728418,Univ Place 418,,,,Ballots,989
62728419,Univ Place 419,,,,Ballots,1167
62728420,Univ Place 420,,,,Ballots,1462
62728421,Univ Place 421,,,,Ballots,1277
62728422,Univ Place 422,,,,Ballots,1289
62728423,Univ Place 423,,,,Ballots,1431
62728424,Univ Place 424,,,,Ballots,1164
62728425,Univ Place 426,,,,Ballots,2
62728426,Lakewood 430,,,,Ballots,1294
62728427,Lakewood 431,,,,Ballots,682
92728432,Lakewood 432,,,,Ballots,602
92728433,Lakewood 433,,,,Ballots,1066
92728434,Lakewood 434,,,,Ballots,976
92728435,Lakewood 435,,,,Ballots,734
92728436,Lakewood 436,,,,Ballots,1089
62728437,Lakewood 437,,,,Ballots,888
92728438,Lakewood 438,,,,Ballots,1011
92728439,Lakewood 439,,,,Ballots,1137
62728440,Lakewood 440,,,,Ballots,292
62728441,Lakewood 441,,,,Ballots,191
62728442,Lakewood 442,,,,Ballots,6
92728443,Lakewood 443,,,,Ballots,698
92728444,Lakewood 444,,,,Ballots,528
92728451,Steilacoom  451,,,,Ballots,396
92728452,Steilacoom 452,,,,Ballots,881
92728453,Steilacoom 453,,,,Ballots,1159
92728457,Dupont 457,,,,Ballots,51
92728458,Dupont 458,,,,Ballots,1501
62728460,460,,,,Ballots,8
92728461,McNeill Island 461,,,,Ballots,16
92728462,Anderson Island 462,,,,Ballots,558
92728463,Ketron Island 463,,,,Ballots,17
92728464,464,,,,Ballots,861
92728465,Fort Lewis 465,,,,Ballots,255
92728467,McChord 467,,,,Ballots,154
92728469,Fort Lewis 469,,,,Ballots,64
92728470,Nisqually rural 470,,,,Ballots,23
62729500,Tacoma 500,,,,Ballots,0
62729501,Tacoma 501,,,,Ballots,682
62729502,Tacoma 502,,,,Ballots,767
62729503,Tacoma 503,,,,Ballots,548
62729504,Tacoma 504,,,,Ballots,716
62729505,Tacoma 505,,,,Ballots,646
62729506,Tacoma 506,,,,Ballots,673
62729507,Tacoma 507,,,,Ballots,816
62729508,Tacoma 508,,,,Ballots,79
62729509,Tacoma 509,,,,Ballots,458
62729510,Tacoma 510,,,,Ballots,896
62729511,Tacoma 511,,,,Ballots,840
62729512,Tacoma 512,,,,Ballots,680
62729513,Tacoma 513,,,,Ballots,659
62729515,Tacoma 515,,,,Ballots,432
62729516,Tacoma 516,,,,Ballots,774
62729517,Tacoma 517,,,,Ballots,961
62729518,Tacoma 518,,,,Ballots,664
62729519,Tacoma 519,,,,Ballots,140
62729520,Tacoma 520,,,,Ballots,552
62729521,Tacoma 521,,,,Ballots,579
62729522,Tacoma 522,,,,Ballots,476
62729523,Tacoma 523,,,,Ballots,12
62729530,Univ Place 530,,,,Ballots,238
62729531,Lakewood 531,,,,Ballots,5
62729532,Lakewood 532,,,,Ballots,689
62729533,Lakewood 533,,,,Ballots,627
62729534,Lakewood 534,,,,Ballots,672
62729535,Lakewood 535,,,,Ballots,450
62729536,Lakewood 536,,,,Ballots,603
92729537,Lakewood 537,,,,Ballots,197
62729538,Lakewood 538,,,,Ballots,21
62729545,Lakewood 545,,,,Ballots,119
62729546,546,,,,Ballots,39
62729548,548,,,,Ballots,6
62729549,549,,,,Ballots,302
62729550,550,,,,Ballots,510
62729551,551,,,,Ballots,13
62729552,552,,,,Ballots,40
62729553,553,,,,Ballots,233
62729554,554,,,,Ballots,133
62729555,Parkland 555,,,,Ballots,647
62729556,Parkland 556,,,,Ballots,589
62729557,Parkland 557,,,,Ballots,4
62729558,Parkland 558,,,,Ballots,551
62729559,Parkland 559,,,,Ballots,418
62729560,Parkland 560,,,,Ballots,961
62729561,561,,,,Ballots,4
62729562,562,,,,Ballots,17
92729563,563,,,,Ballots,385
92729564,564,,,,Ballots,757
92729565,565,,,,Ballots,367
62729566,566,,,,Ballots,6
