precinct,area,office,district,party,candidate,total,machine,hand
70081,West Plains r,Governor,poll,,Ballots,742,742,742
70091,West Plains r,Governor,poll,,Ballots,306,306,306
70101,West Plains r,Governor,poll,,Ballots,528,528,528
70111,Greenbluff r,Governor,poll,,Ballots,479,479,479
70121,Greenbluff r,Governor,poll,,Ballots,378,378,378
71001,Airway Heights,Governor,poll,,Ballots,294,294,294
71011,Airway Heights,Governor,poll,,Ballots,142,142,142
72001,Fairchild,Governor,poll,,Ballots,527,527,527
73001,Deer Park,Governor,poll,,Ballots,465,465,465
73011,Deer Park,Governor,poll,,Ballots,268,268,268
90001,Palouse r,Governor,poll,,Ballots,254,254,254
90013,Palouse r,Governor,vbm,,Ballots,314,314,314
90023,Palouse r,Governor,vbm,,Ballots,153,153,153
90031,Palouse r,Governor,poll,,Ballots,895,895,895
90041,Palouse r,Governor,poll,,Ballots,361,361,361
90051,Palouse r,Governor,poll,,Ballots,580,580,580
90061,Palouse r,Governor,poll,,Ballots,366,366,366
90071,West Plains r,Governor,poll,,Ballots,596,596,596
90081,West Plains r,Governor,poll,,Ballots,359,359,359
90091,West Plains r,Governor,poll,,Ballots,513,513,513
90101,Palouse r,Governor,poll,,Ballots,440,440,440
90113,Palouse r,Governor,vbm,,Ballots,304,304,304
90123,Palouse r,Governor,vbm,,Ballots,161,161,161
90133,Palouse r,Governor,vbm,,Ballots,233,233,233
90143,Palouse r,Governor,vbm,,Ballots,362,362,362
90151,Palouse r,Governor,poll,,Ballots,642,642,642
90163,Palouse r,Governor,vbm,,Ballots,139,139,139
90173,Palouse r,Governor,vbm,,Ballots,196,196,196
90183,Palouse r,Governor,vbm,,Ballots,340,340,340
90191,Moran s,Governor,poll,,Ballots,430,430,430
90203,Palouse r,Governor,vbm,,Ballots,170,170,170
91001,Medical Lake,Governor,poll,,Ballots,480,480,480
91011,Medical Lake,Governor,poll,,Ballots,392,392,392
92001,Cheney,Governor,poll,,Ballots,359,359,359
92011,Cheney,Governor,poll,,Ballots,477,477,477
92021,Cheney,Governor,poll,,Ballots,411,411,411
92031,Cheney,Governor,poll,,Ballots,627,627,627
93003,Spangle,Governor,vbm,,Ballots,138,138,138
94003,Waverly,Governor,vbm,,Ballots,64,64,64
95001,Fairfield,Governor,poll,,Ballots,134,134,134
96003,Latah,Governor,vbm,,Ballots,109,109,109
97003,Rockford,Governor,vbm,,Ballots,213,213,213
31004,NOE,Governor,prov,,Ballots,19,19,19
31014,Hillyard,Governor,prov,,Ballots,38,38,38
31024,NOE,Governor,prov,,Ballots,26,26,26
31034,Hillyard,Governor,prov,,Ballots,13,13,13
31044,NOE,Governor,prov,,Ballots,4,4,4
31054,NOE,Governor,prov,,Ballots,2,2,2
31064,NOE,Governor,prov,,Ballots,56,56,56
31074,NOE,Governor,prov,,Ballots,18,18,18
31084,Shadle Park,Governor,prov,,Ballots,7,7,7
31094,Shadle Park,Governor,prov,,Ballots,6,6,6
31104,Shadle Park,Governor,prov,,Ballots,6,6,6
31114,Shadle Park,Governor,prov,,Ballots,9,9,9
31124,Hillyard,Governor,prov,,Ballots,53,53,53
31134,Hillyard,Governor,prov,,Ballots,4,4,4
31144,NOE,Governor,prov,,Ballots,21,21,21
31154,NOE,Governor,prov,,Ballots,25,25,25
31164,NOE,Governor,prov,,Ballots,11,11,11
31174,NOE,Governor,prov,,Ballots,14,14,14
31184,NOE,Governor,prov,,Ballots,15,15,15
31194,NOE,Governor,prov,,Ballots,11,11,11
31204,NOE,Governor,prov,,Ballots,22,22,22
31214,East Central,Governor,prov,,Ballots,13,13,13
31224,East Central,Governor,prov,,Ballots,2,2,2
31234,East Central,Governor,prov,,Ballots,21,21,21
31244,Shadle Park,Governor,prov,,Ballots,39,39,39
31254,Shadle Park,Governor,prov,,Ballots,24,24,24
31264,Shadle Park,Governor,prov,,Ballots,17,17,17
31274,Shadle Park,Governor,prov,,Ballots,20,20,20
31284,Shadle Park,Governor,prov,,Ballots,24,24,24
31294,South Hill,Governor,prov,,Ballots,49,49,49
31304,South Hill,Governor,prov,,Ballots,26,26,26
31314,East Central,Governor,prov,,Ballots,34,34,34
31324,South Hill,Governor,prov,,Ballots,9,9,9
31334,South Hill,Governor,prov,,Ballots,15,15,15
31344,South Hill,Governor,prov,,Ballots,43,43,43
31354,South Hill,Governor,prov,,Ballots,26,26,26
31364,Shadle Park,Governor,prov,,Ballots,14,14,14
31374,East Central,Governor,prov,,Ballots,14,14,14
31384,East Central,Governor,prov,,Ballots,21,21,21
31394,East Central,Governor,prov,,Ballots,14,14,14
31404,East Central,Governor,prov,,Ballots,11,11,11
31414,East Central,Governor,prov,,Ballots,19,19,19
31424,East Central,Governor,prov,,Ballots,17,17,17
31434,West Central,Governor,prov,,Ballots,17,17,17
31444,West Central,Governor,prov,,Ballots,29,29,29
31454,Shadle Park,Governor,prov,,Ballots,8,8,8
31464,West Central,Governor,prov,,Ballots,77,77,77
31474,West Central,Governor,prov,,Ballots,3,3,3
31484,West Central,Governor,prov,,Ballots,1,1,1
31494,West Central,Governor,prov,,Ballots,55,55,55
31504,West Central,Governor,prov,,Ballots,5,5,5
31514,West Central,Governor,prov,,Ballots,11,11,11
31524,Browne's Add,Governor,prov,,Ballots,39,39,39
31534,Browne's Add,Governor,prov,,Ballots,26,26,26
31544,East Central,Governor,prov,,Ballots,21,21,21
31554,South Hill,Governor,prov,,Ballots,69,69,69
31564,South Hill,Governor,prov,,Ballots,5,5,5
31574,South Hill,Governor,prov,,Ballots,1,1,1
31584,South Hill,Governor,prov,,Ballots,46,46,46
31594,South Hill,Governor,prov,,Ballots,7,7,7
31604,South Hill,Governor,prov,,Ballots,11,11,11
31614,South Hill,Governor,prov,,Ballots,23,23,23
31624,South Hill,Governor,prov,,Ballots,6,6,6
31634,South Hill,Governor,prov,,Ballots,2,2,2
31644,South Hill,Governor,prov,,Ballots,1,1,1
31654,South Hill,Governor,prov,,Ballots,41,41,41
40004,Greenbluff r,Governor,prov,,Ballots,17,17,17
40014,Greenbluff r,Governor,prov,,Ballots,7,7,7
40024,Greenbluff r,Governor,prov,,Ballots,13,13,13
40034,Colbert s,Governor,prov,,Ballots,14,14,14
40044,Greenbluff r,Governor,prov,,Ballots,6,6,6
40054,Greenbluff r,Governor,prov,,Ballots,47,47,47
40064,Colbert s,Governor,prov,,Ballots,1,1,1
40074,Greenbluff r,Governor,prov,,Ballots,8,8,8
40094,Greenbluff r,Governor,prov,,Ballots,12,12,12
40104,Greenbluff r,Governor,prov,,Ballots,4,4,4
40114,Greenbluff r,Governor,prov,,Ballots,6,6,6
40124,Greenbluff r,Governor,prov,,Ballots,12,12,12
40134,Greenbluff r,Governor,prov,,Ballots,13,13,13
40154,Foothills s,Governor,prov,,Ballots,10,10,10
40164,Foothills s,Governor,prov,,Ballots,15,15,15
40174,Foothills s,Governor,prov,,Ballots,9,9,9
40184,Otis Orchards s,Governor,prov,,Ballots,36,36,36
40194,Otis Orchards s,Governor,prov,,Ballots,40,40,40
40204,Otis Orchards s,Governor,prov,,Ballots,36,36,36
40214,Otis Orchards s,Governor,prov,,Ballots,15,15,15
40224,Otis Orchards s,Governor,prov,,Ballots,15,15,15
40244,Palouse r,Governor,prov,,Ballots,13,13,13
40254,Palouse r,Governor,prov,,Ballots,23,23,23
40274,Palouse r,Governor,prov,,Ballots,8,8,8
40284,Palouse r,Governor,prov,,Ballots,8,8,8
40294,Palouse r,Governor,prov,,Ballots,13,13,13
42004,Millwood,Governor,prov,,Ballots,10,10,10
42014,Millwood,Governor,prov,,Ballots,19,19,19
43004,Liberty Lake,Governor,prov,,Ballots,20,20,20
43014,Liberty Lake,Governor,prov,,Ballots,17,17,17
44004,COSV,Governor,prov,,Ballots,16,16,16
44014,COSV,Governor,prov,,Ballots,13,13,13
44024,COSV,Governor,prov,,Ballots,17,17,17
44034,COSV,Governor,prov,,Ballots,23,23,23
44044,COSV,Governor,prov,,Ballots,16,16,16
44054,COSV,Governor,prov,,Ballots,1,1,1
44064,COSV,Governor,prov,,Ballots,16,16,16
44074,COSV,Governor,prov,,Ballots,15,15,15
44084,COSV,Governor,prov,,Ballots,20,20,20
44094,COSV,Governor,prov,,Ballots,8,8,8
44104,COSV,Governor,prov,,Ballots,27,27,27
44124,COSV,Governor,prov,,Ballots,37,37,37
44134,COSV,Governor,prov,,Ballots,27,27,27
44144,COSV,Governor,prov,,Ballots,16,16,16
44154,COSV,Governor,prov,,Ballots,21,21,21
44164,COSV,Governor,prov,,Ballots,30,30,29
44174,COSV,Governor,prov,,Ballots,46,46,47
44184,COSV,Governor,prov,,Ballots,32,32,32
44194,COSV,Governor,prov,,Ballots,12,12,12
44204,COSV,Governor,prov,,Ballots,41,41,41
44214,COSV,Governor,prov,,Ballots,6,6,6
44224,COSV,Governor,prov,,Ballots,4,4,4
44234,COSV,Governor,prov,,Ballots,7,7,7
44244,COSV,Governor,prov,,Ballots,7,7,7
44254,COSV,Governor,prov,,Ballots,2,2,2
44264,COSV,Governor,prov,,Ballots,24,24,24
44274,COSV,Governor,prov,,Ballots,9,9,9
44284,COSV,Governor,prov,,Ballots,22,22,22
44294,COSV,Governor,prov,,Ballots,19,19,19
44304,COSV,Governor,prov,,Ballots,30,30,30
44314,COSV,Governor,prov,,Ballots,26,26,26
44324,COSV,Governor,prov,,Ballots,18,18,18
44334,COSV,Governor,prov,,Ballots,2,2,2
44344,COSV,Governor,prov,,Ballots,49,49,49
44354,COSV,Governor,prov,,Ballots,12,12,12
44364,COSV,Governor,prov,,Ballots,24,24,24
44374,COSV,Governor,prov,,Ballots,11,11,11
44384,COSV,Governor,prov,,Ballots,4,4,4
44394,COSV,Governor,prov,,Ballots,11,11,11
44404,COSV,Governor,prov,,Ballots,46,46,46
44414,COSV,Governor,prov,,Ballots,10,10,10
60004,Greenbluff r,Governor,prov,,Ballots,9,9,9
60014,Greenbluff r,Governor,prov,,Ballots,11,11,11
60024,Colbert s,Governor,prov,,Ballots,19,19,19
60034,Colbert s,Governor,prov,,Ballots,17,17,17
60044,Colbert s,Governor,prov,,Ballots,13,13,13
60054,Colbert s,Governor,prov,,Ballots,9,9,9
60064,Colbert s,Governor,prov,,Ballots,14,14,14
60074,Colbert s,Governor,prov,,Ballots,14,14,14
60094,Greenbluff r,Governor,prov,,Ballots,17,17,17
60104,Greenbluff r,Governor,prov,,Ballots,8,8,8
60114,Colbert s,Governor,prov,,Ballots,7,7,7
60124,Colbert s,Governor,prov,,Ballots,13,13,13
60144,Moran s,Governor,prov,,Ballots,14,14,14
60154,Whitworth s,Governor,prov,,Ballots,22,22,22
60164,Moran s,Governor,prov,,Ballots,28,28,28
60184,Moran s,Governor,prov,,Ballots,17,17,17
60194,Moran s,Governor,prov,,Ballots,8,8,8
60204,Moran s,Governor,prov,,Ballots,8,8,8
60224,West Plains r,Governor,prov,,Ballots,8,8,8
60234,Whitworth s,Governor,prov,,Ballots,11,11,11
60244,West Plains r,Governor,prov,,Ballots,7,7,7
60264,West Plains r,Governor,prov,,Ballots,3,3,3
60274,Colbert s,Governor,prov,,Ballots,12,12,12
60294,Whitworth s,Governor,prov,,Ballots,7,7,7
60304,Whitworth s,Governor,prov,,Ballots,10,10,10
60314,Whitworth s,Governor,prov,,Ballots,17,17,17
60324,Whitworth s,Governor,prov,,Ballots,5,5,5
60334,Whitworth s,Governor,prov,,Ballots,6,6,6
60344,Whitworth s,Governor,prov,,Ballots,14,14,14
60354,Whitworth s,Governor,prov,,Ballots,15,15,15
60364,Whitworth s,Governor,prov,,Ballots,6,6,6
60374,Whitworth s,Governor,prov,,Ballots,16,16,16
60384,Whitworth s,Governor,prov,,Ballots,5,5,5
60394,Whitworth s,Governor,prov,,Ballots,7,7,7
61004,Indian Trail,Governor,prov,,Ballots,14,14,14
61014,Indian Trail,Governor,prov,,Ballots,13,13,13
61024,Indian Trail,Governor,prov,,Ballots,3,3,3
61034,Indian Trail,Governor,prov,,Ballots,11,11,11
61044,Indian Trail,Governor,prov,,Ballots,5,5,5
61054,Indian Trail,Governor,prov,,Ballots,9,9,9
61064,Civil War,Governor,prov,,Ballots,33,33,33
61074,Civil War,Governor,prov,,Ballots,9,9,9
61084,Indian Trail,Governor,prov,,Ballots,12,12,12
61094,Indian Trail,Governor,prov,,Ballots,7,7,7
61104,Indian Trail,Governor,prov,,Ballots,10,10,10
61114,Indian Trail,Governor,prov,,Ballots,5,5,5
61124,Indian Trail,Governor,prov,,Ballots,3,3,3
61134,Civil War,Governor,prov,,Ballots,11,11,11
61144,Civil War,Governor,prov,,Ballots,27,27,27
61154,Civil War,Governor,prov,,Ballots,6,6,6
61164,Civil War,Governor,prov,,Ballots,34,34,34
61174,Finch,Governor,prov,,Ballots,13,13,13
61184,Shadle Park,Governor,prov,,Ballots,9,9,9
61194,Shadle Park,Governor,prov,,Ballots,14,14,14
61204,Shadle Park,Governor,prov,,Ballots,8,8,8
61214,Shadle Park,Governor,prov,,Ballots,14,14,14
61224,Shadle Park,Governor,prov,,Ballots,8,8,8
61234,Shadle Park,Governor,prov,,Ballots,44,44,44
61244,Shadle Park,Governor,prov,,Ballots,15,15,15
61254,Shadle Park,Governor,prov,,Ballots,18,18,18
61264,Shadle Park,Governor,prov,,Ballots,25,25,25
61274,Shadle Park,Governor,prov,,Ballots,23,23,23
61284,Shadle Park,Governor,prov,,Ballots,16,16,16
61294,South Hill,Governor,prov,,Ballots,14,14,14
61304,South Hill,Governor,prov,,Ballots,10,10,10
61314,South Hill,Governor,prov,,Ballots,14,14,14
61324,South Hill,Governor,prov,,Ballots,8,8,8
61334,South Hill,Governor,prov,,Ballots,22,22,22
61354,South Hill,Governor,prov,,Ballots,16,16,16
61364,South Hill,Governor,prov,,Ballots,11,11,11
61374,South Hill,Governor,prov,,Ballots,12,12,12
61384,South Hill,Governor,prov,,Ballots,5,5,5
61394,South Hill,Governor,prov,,Ballots,20,20,20
61404,South Hill,Governor,prov,,Ballots,19,19,19
61414,South Hill,Governor,prov,,Ballots,14,14,14
61424,South Hill,Governor,prov,,Ballots,4,4,4
61434,South Hill,Governor,prov,,Ballots,8,8,8
61444,South Hill,Governor,prov,,Ballots,22,22,22
61454,South Hill,Governor,prov,,Ballots,17,17,17
61464,South Hill,Governor,prov,,Ballots,11,11,11
61474,South Hill,Governor,prov,,Ballots,14,14,14
61484,South Hill,Governor,prov,,Ballots,7,7,7
61494,South Hill,Governor,prov,,Ballots,9,9,9
61504,South Hill,Governor,prov,,Ballots,11,11,11
61514,South Hill,Governor,prov,,Ballots,51,51,51
64004,COSV,Governor,prov,,Ballots,2,2,2
70004,Greenbluff r,Governor,prov,,Ballots,12,12,12
70014,Greenbluff r,Governor,prov,,Ballots,9,9,9
70024,Greenbluff r,Governor,prov,,Ballots,7,7,7
70034,Greenbluff r,Governor,prov,,Ballots,2,2,2
70044,Greenbluff r,Governor,prov,,Ballots,4,4,4
70054,Greenbluff r,Governor,prov,,Ballots,8,8,8
70064,West Plains r,Governor,prov,,Ballots,8,8,8
70074,West Plains r,Governor,prov,,Ballots,21,21,21
70084,West Plains r,Governor,prov,,Ballots,21,21,21
70094,West Plains r,Governor,prov,,Ballots,13,13,13
70104,West Plains r,Governor,prov,,Ballots,16,16,16
70114,Greenbluff r,Governor,prov,,Ballots,15,15,15
70124,Greenbluff r,Governor,prov,,Ballots,11,11,11
71004,Airway Heights,Governor,prov,,Ballots,32,32,32
71014,Airway Heights,Governor,prov,,Ballots,9,9,9
72004,Fairchild,Governor,prov,,Ballots,26,26,26
73004,Deer Park,Governor,prov,,Ballots,11,11,11
73014,Deer Park,Governor,prov,,Ballots,8,8,8
90004,Palouse r,Governor,prov,,Ballots,10,10,10
90034,Palouse r,Governor,prov,,Ballots,8,8,8
90044,Palouse r,Governor,prov,,Ballots,13,13,13
90054,Palouse r,Governor,prov,,Ballots,6,6,6
90064,Palouse r,Governor,prov,,Ballots,4,4,4
90074,West Plains r,Governor,prov,,Ballots,11,11,11
90084,West Plains r,Governor,prov,,Ballots,8,8,8
90094,West Plains r,Governor,prov,,Ballots,23,23,23
90104,Palouse r,Governor,prov,,Ballots,4,4,4
90154,Palouse r,Governor,prov,,Ballots,6,6,6
90194,Moran s,Governor,prov,,Ballots,8,8,8
91004,Medical Lake,Governor,prov,,Ballots,18,18,18
91014,Medical Lake,Governor,prov,,Ballots,7,7,7
92004,Cheney,Governor,prov,,Ballots,18,18,18
92014,Cheney,Governor,prov,,Ballots,10,10,10
92024,Cheney,Governor,prov,,Ballots,33,33,33
92034,Cheney,Governor,prov,,Ballots,53,53,53
95004,Fairfield,Governor,prov,,Ballots,4,4,4
SPOKANE WA,SPOKANE WA,Governor,prov,,Ballots,203871,203877,203886
precinct,area,office,district,party,candidate,total,machine,hand
31002,NOE,Governor,abs,D,Christine Gregoire,87,87,87
31012,Hillyard,Governor,abs,D,Christine Gregoire,75,75,75
31022,NOE,Governor,abs,D,Christine Gregoire,88,88,88
31032,Hillyard,Governor,abs,D,Christine Gregoire,109,109,109
31042,NOE,Governor,abs,D,Christine Gregoire,95,95,95
31052,NOE,Governor,abs,D,Christine Gregoire,100,100,100
31062,NOE,Governor,abs,D,Christine Gregoire,76,76,76
31072,NOE,Governor,abs,D,Christine Gregoire,127,127,127
31082,Shadle Park,Governor,abs,D,Christine Gregoire,138,138,139
31092,Shadle Park,Governor,abs,D,Christine Gregoire,110,110,110
31102,Shadle Park,Governor,abs,D,Christine Gregoire,115,115,115
31112,Shadle Park,Governor,abs,D,Christine Gregoire,122,122,122
31122,Hillyard,Governor,abs,D,Christine Gregoire,102,102,102
31132,Hillyard,Governor,abs,D,Christine Gregoire,75,75,75
31142,NOE,Governor,abs,D,Christine Gregoire,68,68,68
31152,NOE,Governor,abs,D,Christine Gregoire,57,57,57
31162,NOE,Governor,abs,D,Christine Gregoire,112,112,112
31172,NOE,Governor,abs,D,Christine Gregoire,131,131,131
31182,NOE,Governor,abs,D,Christine Gregoire,110,110,110
31192,NOE,Governor,abs,D,Christine Gregoire,121,121,121
31202,NOE,Governor,abs,D,Christine Gregoire,171,172,172
31212,East Central,Governor,abs,D,Christine Gregoire,95,95,95
31222,East Central,Governor,abs,D,Christine Gregoire,108,108,108
31232,East Central,Governor,abs,D,Christine Gregoire,85,85,85
31242,Shadle Park,Governor,abs,D,Christine Gregoire,153,153,153
31252,Shadle Park,Governor,abs,D,Christine Gregoire,80,80,80
31262,Shadle Park,Governor,abs,D,Christine Gregoire,131,131,131
31272,Shadle Park,Governor,abs,D,Christine Gregoire,159,159,159
31282,Shadle Park,Governor,abs,D,Christine Gregoire,96,96,96
31292,South Hill,Governor,abs,D,Christine Gregoire,166,166,166
31302,South Hill,Governor,abs,D,Christine Gregoire,66,66,66
31312,East Central,Governor,abs,D,Christine Gregoire,117,117,117
31322,South Hill,Governor,abs,D,Christine Gregoire,100,100,100
31332,South Hill,Governor,abs,D,Christine Gregoire,144,144,144
31342,South Hill,Governor,abs,D,Christine Gregoire,160,160,160
31352,South Hill,Governor,abs,D,Christine Gregoire,141,141,141
31362,Shadle Park,Governor,abs,D,Christine Gregoire,115,115,115
31372,East Central,Governor,abs,D,Christine Gregoire,71,71,71
31382,East Central,Governor,abs,D,Christine Gregoire,126,126,126
31392,East Central,Governor,abs,D,Christine Gregoire,98,98,98
31402,East Central,Governor,abs,D,Christine Gregoire,99,99,99
31412,East Central,Governor,abs,D,Christine Gregoire,112,112,112
31422,East Central,Governor,abs,D,Christine Gregoire,111,111,111
31432,West Central,Governor,abs,D,Christine Gregoire,119,119,119
31442,West Central,Governor,abs,D,Christine Gregoire,112,112,112
31452,Shadle Park,Governor,abs,D,Christine Gregoire,82,82,82
31462,West Central,Governor,abs,D,Christine Gregoire,151,151,151
31472,West Central,Governor,abs,D,Christine Gregoire,138,138,138
31482,West Central,Governor,abs,D,Christine Gregoire,123,123,123
31492,West Central,Governor,abs,D,Christine Gregoire,121,121,121
31502,West Central,Governor,abs,D,Christine Gregoire,157,157,157
31512,West Central,Governor,abs,D,Christine Gregoire,175,175,175
31522,Browne's Add,Governor,abs,D,Christine Gregoire,237,237,237
31532,Browne's Add,Governor,abs,D,Christine Gregoire,118,118,118
31542,East Central,Governor,abs,D,Christine Gregoire,88,88,88
31552,South Hill,Governor,abs,D,Christine Gregoire,131,131,131
31562,South Hill,Governor,abs,D,Christine Gregoire,136,136,136
31572,South Hill,Governor,abs,D,Christine Gregoire,143,143,143
31582,South Hill,Governor,abs,D,Christine Gregoire,154,154,154
31592,South Hill,Governor,abs,D,Christine Gregoire,123,123,123
31602,South Hill,Governor,abs,D,Christine Gregoire,203,203,203
31612,South Hill,Governor,abs,D,Christine Gregoire,125,125,125
31622,South Hill,Governor,abs,D,Christine Gregoire,87,87,87
31632,South Hill,Governor,abs,D,Christine Gregoire,108,108,108
31642,South Hill,Governor,abs,D,Christine Gregoire,137,137,137
31652,South Hill,Governor,abs,D,Christine Gregoire,134,134,134
40002,Greenbluff r,Governor,abs,D,Christine Gregoire,88,88,88
40012,Greenbluff r,Governor,abs,D,Christine Gregoire,109,109,109
40022,Greenbluff r,Governor,abs,D,Christine Gregoire,115,115,115
40032,Colbert s,Governor,abs,D,Christine Gregoire,92,92,92
40042,Greenbluff r,Governor,abs,D,Christine Gregoire,65,65,65
40052,Greenbluff r,Governor,abs,D,Christine Gregoire,94,94,94
40062,Colbert s,Governor,abs,D,Christine Gregoire,79,79,79
40072,Greenbluff r,Governor,abs,D,Christine Gregoire,59,59,59
40092,Greenbluff r,Governor,abs,D,Christine Gregoire,67,68,68
40102,Greenbluff r,Governor,abs,D,Christine Gregoire,48,48,48
40112,Greenbluff r,Governor,abs,D,Christine Gregoire,89,89,89
40122,Greenbluff r,Governor,abs,D,Christine Gregoire,78,78,78
40132,Greenbluff r,Governor,abs,D,Christine Gregoire,98,98,98
40152,Foothills s,Governor,abs,D,Christine Gregoire,80,80,80
40162,Foothills s,Governor,abs,D,Christine Gregoire,123,123,123
40172,Foothills s,Governor,abs,D,Christine Gregoire,114,114,114
40182,Otis Orchards s,Governor,abs,D,Christine Gregoire,74,74,74
40192,Otis Orchards s,Governor,abs,D,Christine Gregoire,78,78,78
40202,Otis Orchards s,Governor,abs,D,Christine Gregoire,101,101,101
40212,Otis Orchards s,Governor,abs,D,Christine Gregoire,135,135,135
40222,Otis Orchards s,Governor,abs,D,Christine Gregoire,117,117,117
40242,Palouse r,Governor,abs,D,Christine Gregoire,69,69,69
40252,Palouse r,Governor,abs,D,Christine Gregoire,84,84,84
40272,Palouse r,Governor,abs,D,Christine Gregoire,64,64,64
40282,Palouse r,Governor,abs,D,Christine Gregoire,116,116,116
40292,Palouse r,Governor,abs,D,Christine Gregoire,66,66,66
42002,Millwood,Governor,abs,D,Christine Gregoire,112,112,112
42012,Millwood,Governor,abs,D,Christine Gregoire,65,65,65
43002,Liberty Lake,Governor,abs,D,Christine Gregoire,160,160,160
43012,Liberty Lake,Governor,abs,D,Christine Gregoire,109,109,109
44002,COSV,Governor,abs,D,Christine Gregoire,93,93,93
44012,COSV,Governor,abs,D,Christine Gregoire,131,131,131
44022,COSV,Governor,abs,D,Christine Gregoire,130,130,130
44032,COSV,Governor,abs,D,Christine Gregoire,116,116,116
44042,COSV,Governor,abs,D,Christine Gregoire,182,183,183
44052,COSV,Governor,abs,D,Christine Gregoire,105,105,105
44062,COSV,Governor,abs,D,Christine Gregoire,148,148,148
44072,COSV,Governor,abs,D,Christine Gregoire,130,130,130
44082,COSV,Governor,abs,D,Christine Gregoire,101,101,101
44092,COSV,Governor,abs,D,Christine Gregoire,133,133,133
44102,COSV,Governor,abs,D,Christine Gregoire,185,185,185
44112,COSV,Governor,abs,D,Christine Gregoire,69,69,69
44122,COSV,Governor,abs,D,Christine Gregoire,140,140,140
44132,COSV,Governor,abs,D,Christine Gregoire,117,117,117
44142,COSV,Governor,abs,D,Christine Gregoire,101,101,102
44152,COSV,Governor,abs,D,Christine Gregoire,165,165,165
44162,COSV,Governor,abs,D,Christine Gregoire,149,149,149
44172,COSV,Governor,abs,D,Christine Gregoire,171,171,171
44182,COSV,Governor,abs,D,Christine Gregoire,209,208,209
44192,COSV,Governor,abs,D,Christine Gregoire,123,123,123
44202,COSV,Governor,abs,D,Christine Gregoire,117,117,117
44212,COSV,Governor,abs,D,Christine Gregoire,114,114,114
44222,COSV,Governor,abs,D,Christine Gregoire,135,135,135
44232,COSV,Governor,abs,D,Christine Gregoire,134,134,134
44242,COSV,Governor,abs,D,Christine Gregoire,115,115,115
44252,COSV,Governor,abs,D,Christine Gregoire,106,106,106
44262,COSV,Governor,abs,D,Christine Gregoire,129,129,129
44272,COSV,Governor,abs,D,Christine Gregoire,133,133,133
44282,COSV,Governor,abs,D,Christine Gregoire,181,181,182
44292,COSV,Governor,abs,D,Christine Gregoire,128,128,128
44302,COSV,Governor,abs,D,Christine Gregoire,139,139,139
44312,COSV,Governor,abs,D,Christine Gregoire,86,86,86
44322,COSV,Governor,abs,D,Christine Gregoire,100,100,100
44332,COSV,Governor,abs,D,Christine Gregoire,100,100,100
44342,COSV,Governor,abs,D,Christine Gregoire,148,148,148
44352,COSV,Governor,abs,D,Christine Gregoire,75,75,76
44362,COSV,Governor,abs,D,Christine Gregoire,99,99,99
44372,COSV,Governor,abs,D,Christine Gregoire,105,105,105
44382,COSV,Governor,abs,D,Christine Gregoire,64,64,64
44392,COSV,Governor,abs,D,Christine Gregoire,138,138,138
44402,COSV,Governor,abs,D,Christine Gregoire,165,165,165
44412,COSV,Governor,abs,D,Christine Gregoire,56,56,56
60002,Greenbluff r,Governor,abs,D,Christine Gregoire,46,46,46
60012,Greenbluff r,Governor,abs,D,Christine Gregoire,94,94,94
60022,Colbert s,Governor,abs,D,Christine Gregoire,84,84,84
60032,Colbert s,Governor,abs,D,Christine Gregoire,76,76,76
60042,Colbert s,Governor,abs,D,Christine Gregoire,73,73,73
60052,Colbert s,Governor,abs,D,Christine Gregoire,84,84,84
60062,Colbert s,Governor,abs,D,Christine Gregoire,76,76,76
60072,Colbert s,Governor,abs,D,Christine Gregoire,48,48,48
60092,Greenbluff r,Governor,abs,D,Christine Gregoire,79,79,79
60102,Greenbluff r,Governor,abs,D,Christine Gregoire,50,50,50
60112,Colbert s,Governor,abs,D,Christine Gregoire,71,71,71
60122,Colbert s,Governor,abs,D,Christine Gregoire,94,94,94
60142,Moran s,Governor,abs,D,Christine Gregoire,103,103,103
60152,Whitworth s,Governor,abs,D,Christine Gregoire,120,120,120
60162,Moran s,Governor,abs,D,Christine Gregoire,103,103,103
60182,Moran s,Governor,abs,D,Christine Gregoire,111,111,111
60192,Moran s,Governor,abs,D,Christine Gregoire,133,133,133
60202,Moran s,Governor,abs,D,Christine Gregoire,159,159,159
60222,West Plains r,Governor,abs,D,Christine Gregoire,78,78,78
60232,Whitworth s,Governor,abs,D,Christine Gregoire,119,119,119
60242,West Plains r,Governor,abs,D,Christine Gregoire,91,91,91
60262,West Plains r,Governor,abs,D,Christine Gregoire,22,22,22
60272,Colbert s,Governor,abs,D,Christine Gregoire,82,82,82
60292,Whitworth s,Governor,abs,D,Christine Gregoire,52,52,52
60302,Whitworth s,Governor,abs,D,Christine Gregoire,96,96,96
60312,Whitworth s,Governor,abs,D,Christine Gregoire,79,79,79
60322,Whitworth s,Governor,abs,D,Christine Gregoire,92,92,92
60332,Whitworth s,Governor,abs,D,Christine Gregoire,100,100,100
60342,Whitworth s,Governor,abs,D,Christine Gregoire,56,56,56
60352,Whitworth s,Governor,abs,D,Christine Gregoire,69,69,69
60362,Whitworth s,Governor,abs,D,Christine Gregoire,97,97,97
60372,Whitworth s,Governor,abs,D,Christine Gregoire,109,109,109
60382,Whitworth s,Governor,abs,D,Christine Gregoire,89,89,89
