number,precinct,office,district,party,candidate,total,machine,hand
217,Anacortes 17,Governor,,L,Ruth Bennett,31,31,31
220,Anacortes 20,Governor,,L,Ruth Bennett,18,18,18
221,Anacortes 21,Governor,,L,Ruth Bennett,15,15,15
222,Anacortes 22,Governor,,L,Ruth Bennett,18,18,18
224,Anacortes 24,Governor,,L,Ruth Bennett,16,16,16
301,Mount Vernon 1,Governor,,L,Ruth Bennett,17,18,18
302,Mount Vernon 2,Governor,,L,Ruth Bennett,15,15,15
303,Mount Vernon 3,Governor,,L,Ruth Bennett,30,30,30
304,Mount Vernon 4,Governor,,L,Ruth Bennett,25,25,25
305,Mount Vernon 5,Governor,,L,Ruth Bennett,1,1,1
306,Mount Vernon 6,Governor,,L,Ruth Bennett,22,22,22
307,Mount Vernon 7,Governor,,L,Ruth Bennett,14,14,14
308,Mount Vernon 8,Governor,,L,Ruth Bennett,11,11,11
309,Mount Vernon 9,Governor,,L,Ruth Bennett,10,10,10
310,Mount Vernon 10,Governor,,L,Ruth Bennett,13,13,13
311,Mount Vernon 11,Governor,,L,Ruth Bennett,7,7,7
312,Mount Vernon 12,Governor,,L,Ruth Bennett,12,12,12
314,Mount Vernon 14,Governor,,L,Ruth Bennett,21,21,21
315,Mount Vernon 15,Governor,,L,Ruth Bennett,16,18,16
316,Mount Vernon 16,Governor,,L,Ruth Bennett,8,8,8
319,Mount Vernon 19,Governor,,L,Ruth Bennett,12,12,12
321,Mount Vernon 21,Governor,,L,Ruth Bennett,20,20,20
322,Mount Vernon 22,Governor,,L,Ruth Bennett,10,11,11
327,Mount Vernon 27,Governor,,L,Ruth Bennett,1,1,1
328,Mount Vernon 28,Governor,,L,Ruth Bennett,5,5,5
401,Sedro Woolley 1,Governor,,L,Ruth Bennett,10,10,10
402,Sedro Woolley 2,Governor,,L,Ruth Bennett,8,8,8
403,Sedro Woolley 3,Governor,,L,Ruth Bennett,17,18,18
404,Sedro Woolley 4,Governor,,L,Ruth Bennett,22,22,22
405,Sedro Woolley 5,Governor,,L,Ruth Bennett,16,16,16
406,Sedro Woolley 6,Governor,,L,Ruth Bennett,16,16,16
407,Sedro Woolley 7,Governor,,L,Ruth Bennett,0,0,0
501,Burlington 1,Governor,,L,Ruth Bennett,11,11,11
502,Burlington 2,Governor,,L,Ruth Bennett,8,8,8
503,Burlington 3,Governor,,L,Ruth Bennett,9,10,9
504,Burlington 4,Governor,,L,Ruth Bennett,14,14,14
505,Burlington 5,Governor,,L,Ruth Bennett,10,10,10
506,Burlington 6,Governor,,L,Ruth Bennett,16,16,16
507,Burlington 7,Governor,,L,Ruth Bennett,6,6,6
601,Concrete,Governor,,L,Ruth Bennett,12,12,12
701,Hamilton,Governor,,L,Ruth Bennett,2,2,2
801,La Conner,Governor,,L,Ruth Bennett,13,13,13
855,Lyman,Governor,,L,Ruth Bennett,3,3,3
SKAGIT WA,SKAGIT WA,Governor,,L,Ruth Bennett,1260,1267,1264
