"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Cowlitz","  Kelso School District No. 458 Director Position 3","Don Sharer","","2687","47.2315","School"
"Cowlitz","  Kelso School District No. 458 Director Position 3","Jeane Conrad","","2944","51.749","School"
"Cowlitz","  Kelso School District No. 458 Director Position 3","WRITE-IN","","58","1.0195","School"
"Cowlitz","  Kelso School District No. 458 Director Position 4","Mike Haas","","4620","97.3656","School"
"Cowlitz","  Kelso School District No. 458 Director Position 4","WRITE-IN","","125","2.6344","School"
"Cowlitz","  Kelso School District No. 458 Director Position 5","Robert Johnson","","2057","36.2659","School"
"Cowlitz","  Kelso School District No. 458 Director Position 5","Ron Huntington","","3561","62.7821","School"
"Cowlitz","  Kelso School District No. 458 Director Position 5","WRITE-IN","","54","0.952","School"
"Cowlitz","  Fire Protection District 1 Commissioner Position 3","Tyson Humbyrd","","909","98.4832","Fire"
"Cowlitz","  Fire Protection District 1 Commissioner Position 3","WRITE-IN","","14","1.5168","Fire"
"Cowlitz","  Cowlitz 2 Fire &amp; Rescue Commissioner Position 2","Jeff Cameron","","6149","78.672","Fire"
"Cowlitz","  Cowlitz 2 Fire &amp; Rescue Commissioner Position 2","Patrick Shannon Ryan","","1602","20.4964","Fire"
"Cowlitz","  Cowlitz 2 Fire &amp; Rescue Commissioner Position 2","WRITE-IN","","65","0.8316","Fire"
"Cowlitz","  Cowlitz 2 Fire &amp; Rescue Commissioner Position 5","Jon Olson","","6368","98.211","Fire"
"Cowlitz","  Cowlitz 2 Fire &amp; Rescue Commissioner Position 5","WRITE-IN","","116","1.789","Fire"
"Cowlitz","  Fire Protection District 3 Commissioner Position 2","Tom Baltazar","","711","65.4696","Fire"
"Cowlitz","  Fire Protection District 3 Commissioner Position 2","Curtis W. Dorcheus","","367","33.7937","Fire"
"Cowlitz","  Fire Protection District 3 Commissioner Position 2","WRITE-IN","","8","0.7366","Fire"
"Cowlitz","  Fire Protection District 5 Commissioner Position 2","Jason Petrillo","","1640","97.3294","Fire"
"Cowlitz","  Fire Protection District 5 Commissioner Position 2","WRITE-IN","","45","2.6706","Fire"
"Cowlitz","  Fire Protection District 5 Commissioner Position 3","Dave Wyman","","1628","98.0132","Fire"
"Cowlitz","  Fire Protection District 5 Commissioner Position 3","WRITE-IN","","33","1.9868","Fire"
"Cowlitz","  Fire Protection District 6 Commissioner Position 2","Mike Kayser","","2031","97.9267","Fire"
"Cowlitz","  Fire Protection District 6 Commissioner Position 2","WRITE-IN","","43","2.0733","Fire"
"Cowlitz","  Fire Protection District 7 Commissioner Position 1","Fredrick Hudgin","","112","32.6531","Fire"
"Cowlitz","  Fire Protection District 7 Commissioner Position 1","Day D. (Denny) Parkhill","","228","66.4723","Fire"
"Cowlitz","  Fire Protection District 7 Commissioner Position 1","WRITE-IN","","3","0.8746","Fire"
"Cowlitz","  FIRE DISTRICT 20 - COWLITZ-LEWIS Commissioner Position 2","Terry Williams","","144","100","Fire"
"Cowlitz","  FIRE DISTRICT 20 - COWLITZ-LEWIS Commissioner Position 2","WRITE-IN","","0","0","Fire"
"Cowlitz","  FIRE DISTRICT 20 - COWLITZ-LEWIS Commissioner Position 3","Ken Miller","","124","100","Fire"
"Cowlitz","  FIRE DISTRICT 20 - COWLITZ-LEWIS Commissioner Position 3","WRITE-IN","","0","0","Fire"
"Cowlitz","  Cemetery District 1 Commissioner Position 2","Melvin Kayser","","1814","98.587","Cemetery"
"Cowlitz","  Cemetery District 1 Commissioner Position 2","WRITE-IN","","26","1.413","Cemetery"
"Cowlitz","  Cemetery District 1 Commissioner Position 3","Justin T. Adkins","","1798","98.6828","Cemetery"
"Cowlitz","  Cemetery District 1 Commissioner Position 3","WRITE-IN","","24","1.3172","Cemetery"
"Cowlitz","  Cemetery District 2 Commissioner Position 3","Christy Tseu ","","979","35.9926","Cemetery"
"Cowlitz","  Cemetery District 2 Commissioner Position 3","Gary Stuart","","1725","63.4191","Cemetery"
"Cowlitz","  Cemetery District 2 Commissioner Position 3","WRITE-IN","","16","0.5882","Cemetery"
"Cowlitz","  Cemetery District 4 Commissioner Position 1","Bill Wood","","349","97.7591","Cemetery"
"Cowlitz","  Cemetery District 4 Commissioner Position 1","WRITE-IN","","8","2.2409","Cemetery"
"Cowlitz","  Cemetery District 4 Commissioner Position 2","John L. Alden","","361","97.5676","Cemetery"
"Cowlitz","  Cemetery District 4 Commissioner Position 2","WRITE-IN","","9","2.4324","Cemetery"
"Cowlitz","  Cemetery District 5 Commissioner Position 2","Elouise (Kenney) Hutton","","1471","98.0667","Cemetery"
"Cowlitz","  Cemetery District 5 Commissioner Position 2","WRITE-IN","","29","1.9333","Cemetery"
"Cowlitz","  Cemetery District 6 Commissioner Position 3","Ella (Christie) Masters","","1011","96.6539","Cemetery"
"Cowlitz","  Cemetery District 6 Commissioner Position 3","WRITE-IN","","35","3.3461","Cemetery"
"Cowlitz","  Cemetery District 7 Commissioner Position 2","Robert A. Sudar","","178","97.8022","Cemetery"
"Cowlitz","  Cemetery District 7 Commissioner Position 2","WRITE-IN","","4","2.1978","Cemetery"
"Cowlitz","  Beacon Hill Water and Sewer District Commissioner Position 2","Bonnie Decius","","1993","98.2742","Water"
"Cowlitz","  Beacon Hill Water and Sewer District Commissioner Position 2","WRITE-IN","","35","1.7258","Water"
"Cowlitz","  Beacon Hill Water and Sewer District Commissioner Position 3","Michelle Hollis","","1993","98.0325","Water"
"Cowlitz","  Beacon Hill Water and Sewer District Commissioner Position 3","WRITE-IN","","40","1.9675","Water"
"Cowlitz","  Woodland Swimming Pool and Recreation District Commissioner Position 1","Megan Evans","","1867","96.1875","Park and Recreation"
"Cowlitz","  Woodland Swimming Pool and Recreation District Commissioner Position 1","WRITE-IN","","74","3.8125","Park and Recreation"
"Cowlitz","  Woodland Swimming Pool and Recreation District Commissioner Position 3","Rachael Stuart","","1896","96.3415","Park and Recreation"
"Cowlitz","  Woodland Swimming Pool and Recreation District Commissioner Position 3","WRITE-IN","","72","3.6585","Park and Recreation"
"Cowlitz","  RURAL PARTIAL-COUNTY LIBRARY DISTRICT Local Proposition 1","Yes","","362","25.565","Library"
"Cowlitz","  RURAL PARTIAL-COUNTY LIBRARY DISTRICT Local Proposition 1","No","","1054","74.435","Library"
"Cowlitz","  Lexington Flood Control Zone District Supervisor Position 1","Lee Wolf","","647","98.1791","Other"
"Cowlitz","  Lexington Flood Control Zone District Supervisor Position 1","WRITE-IN","","12","1.8209","Other"
"Cowlitz","  Lexington Flood Control Zone District Supervisor Position 2","Brian Wesemann ","","660","98.5075","Other"
"Cowlitz","  Lexington Flood Control Zone District Supervisor Position 2","WRITE-IN","","10","1.4925","Other"
"Cowlitz","  Lexington Flood Control Zone District Supervisor Position 3","Michael Pinto","","657","98.3533","Other"
"Cowlitz","  Lexington Flood Control Zone District Supervisor Position 3","WRITE-IN","","11","1.6467","Other"
"Douglas","  Referendum Measure No. 88","Approved","","2550","30.3716","State Executive"
"Douglas","  Referendum Measure No. 88","Rejected","","5846","69.6284","State Executive"
"Douglas","  Initiative Measure No. 976","Yes","","6458","68.1871","State Executive"
"Douglas","  Initiative Measure No. 976","No","","3013","31.8129","State Executive"
"Douglas","  Advisory Vote No. 20","Repealed","","7278","79.978","State Executive"
"Douglas","  Advisory Vote No. 20","Maintained","","1822","20.022","State Executive"
"Douglas","  Advisory Vote No. 21","Repealed","","6750","74.2166","State Executive"
"Douglas","  Advisory Vote No. 21","Maintained","","2345","25.7834","State Executive"
"Douglas","  Advisory Vote No. 22","Repealed","","7188","79.3991","State Executive"
"Douglas","  Advisory Vote No. 22","Maintained","","1865","20.6009","State Executive"
"Douglas","  Advisory Vote No. 23","Repealed","","4253","46.3088","State Executive"
"Douglas","  Advisory Vote No. 23","Maintained","","4931","53.6912","State Executive"
"Douglas","  Advisory Vote No. 24","Repealed","","7399","82.0288","State Executive"
"Douglas","  Advisory Vote No. 24","Maintained","","1621","17.9712","State Executive"
"Douglas","  Advisory Vote No. 25","Repealed","","6878","76.2359","State Executive"
"Douglas","  Advisory Vote No. 25","Maintained","","2144","23.7641","State Executive"
"Douglas","  Advisory Vote No. 26","Repealed","","6532","73.024","State Executive"
"Douglas","  Advisory Vote No. 26","Maintained","","2413","26.976","State Executive"
"Douglas","  Advisory Vote No. 27","Repealed","","7524","82.6632","State Executive"
"Douglas","  Advisory Vote No. 27","Maintained","","1578","17.3368","State Executive"
"Douglas","  Advisory Vote No. 28","Repealed","","5481","61.1514","State Executive"
"Douglas","  Advisory Vote No. 28","Maintained","","3482","38.8486","State Executive"
"Douglas","  Advisory Vote No. 29","Repealed","","7568","83.3848","State Executive"
"Douglas","  Advisory Vote No. 29","Maintained","","1508","16.6152","State Executive"
"Douglas","  Advisory Vote No. 30","Repealed","","6751","74.8946","State Executive"
"Douglas","  Advisory Vote No. 30","Maintained","","2263","25.1054","State Executive"
"Douglas","  Advisory Vote No. 31","Repealed","","5292","59.1682","State Executive"
"Douglas","  Advisory Vote No. 31","Maintained","","3652","40.8318","State Executive"
"Douglas","  Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200","Approved","","4732","51.5468","State Executive"
"Douglas","  Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200","Rejected","","4448","48.4532","State Executive"
"Douglas","  Douglas Superior Court  Judge Position 1","Brian C. Huber","","6444","98.1569","Judicial"
"Douglas","  Douglas Superior Court  Judge Position 1","WRITE-IN","","121","1.8431","Judicial"
"Douglas","  Port Countywide Commissioner District 1","Jim Huffman","","6562","98.6915","Port"
"Douglas","  Port Countywide Commissioner District 1","WRITE-IN","","87","1.3085","Port"
"Douglas","  Eastmont Metro Parks and Recreation Commissioner #1","Deborah (Deb) Miller","","5043","98.9988","Park and Recreation"
"Douglas","  Eastmont Metro Parks and Recreation Commissioner #1","WRITE-IN","","51","1.0012","Park and Recreation"
"Douglas","  Eastmont Metro Parks and Recreation Commissioner #2","Marc A. Marquis","","4933","98.6797","Park and Recreation"
"Douglas","  Eastmont Metro Parks and Recreation Commissioner #2","WRITE-IN","","66","1.3203","Park and Recreation"
"Douglas","  East Wenatchee Water Water Commissioner #3","Jeff Johnson","","2850","49.2058","Water"
"Douglas","  East Wenatchee Water Water Commissioner #3","Terry Barnes","","2911","50.259","Water"
"Douglas","  East Wenatchee Water Water Commissioner #3","WRITE-IN","","31","0.5352","Water"
"Douglas","  HOSPITAL DISTRICT 01 Commissioner Pos. 2 At Large ","Leslie McNamara","","349","98.3099","Hospital"
"Douglas","  HOSPITAL DISTRICT 01 Commissioner Pos. 2 At Large ","WRITE-IN","","6","1.6901","Hospital"
"Douglas","  HOSPITAL DISTRICT 01 Commissioner Pos. 3 At Large ","Michael Pruett","","348","98.8636","Hospital"
"Douglas","  HOSPITAL DISTRICT 01 Commissioner Pos. 3 At Large ","WRITE-IN","","4","1.1364","Hospital"
"Douglas","  HOSPITAL DISTRICT 01 Commissioner Pos. 4 At large ","Cherryl (Cherri) Thomas","","347","99.1429","Hospital"
"Douglas","  HOSPITAL DISTRICT 01 Commissioner Pos. 4 At large ","WRITE-IN","","3","0.8571","Hospital"
"Douglas","  Hospital District #2 Commissioner #1","Tyler Greenwood","","578","99.1424","Hospital"
"Douglas","  Hospital District #2 Commissioner #1","WRITE-IN","","5","0.8576","Hospital"
"Douglas","  Hospital District #2 Commissioner #3","Katie Shafer","","551","98.9228","Hospital"
"Douglas","  Hospital District #2 Commissioner #3","WRITE-IN","","6","1.0772","Hospital"
"Douglas","  Hospital District #2 Local DOUGLAS COUNTY HOSPITAL DISTRICT #2","Yes","","530","73.2044","Hospital"
"Douglas","  Hospital District #2 Local DOUGLAS COUNTY HOSPITAL DISTRICT #2","No","","194","26.7956","Hospital"
"Douglas","  Hospital District #3 Commissioner #1","Joe Ehlers","","50","100","Hospital"
"Douglas","  Hospital District #3 Commissioner #1","WRITE-IN","","0","0","Hospital"
"Douglas","  Hospital District #3 Commissioner 2","Lee G. Hemmer","","48","100","Hospital"
"Douglas","  Hospital District #3 Commissioner 2","WRITE-IN","","0","0","Hospital"
"Douglas","  GRANT COUNTY HOSPITAL DIST #6 HOSPITAL COMMISSIONER #01","Brenda Turner","","15","28.8462","Hospital"
"Douglas","  GRANT COUNTY HOSPITAL DIST #6 HOSPITAL COMMISSIONER #01","Kristan Hare","","36","69.2308","Hospital"
"Douglas","  GRANT COUNTY HOSPITAL DIST #6 HOSPITAL COMMISSIONER #01","WRITE-IN","","1","1.9231","Hospital"
"Douglas","  GRANT COUNTY HOSPITAL DIST #6 HOSPITAL COMMISSIONER #05","Betty Brueske","","21","43.75","Hospital"
"Douglas","  GRANT COUNTY HOSPITAL DIST #6 HOSPITAL COMMISSIONER #05","Bradley Parrish","","27","56.25","Hospital"
"Douglas","  GRANT COUNTY HOSPITAL DIST #6 HOSPITAL COMMISSIONER #05","WRITE-IN","","0","0","Hospital"
"Douglas","  Orondo School District  Director #3","Tim Meyers","","196","98","School"
"Douglas","  Orondo School District  Director #3","WRITE-IN","","4","2","School"
"Douglas","  Orondo School District  Director #4","Hannah Poush","","205","99.0338","School"
"Douglas","  Orondo School District  Director #4","WRITE-IN","","2","0.9662","School"
"Douglas","  Orondo School District  Director #5","Jennifer Foreman","","209","99.5238","School"
"Douglas","  Orondo School District  Director #5","WRITE-IN","","1","0.4762","School"
"Douglas","  Bridgeport School District Director 1","Bennie Polvos","","212","96.8037","School"
"Douglas","  Bridgeport School District Director 1","WRITE-IN","","7","3.1963","School"
"Douglas","  Bridgeport School District Director 3","Matt West","","211","98.1395","School"
"Douglas","  Bridgeport School District Director 3","WRITE-IN","","4","1.8605","School"
"Douglas","  Bridgeport School District Director #4","Wayne van Zwoll","","221","99.1031","School"
"Douglas","  Bridgeport School District Director #4","WRITE-IN","","2","0.8969","School"
"Douglas","  Palisades School District Director #2","Jami M Sachs","","42","97.6744","School"
"Douglas","  Palisades School District Director #2","WRITE-IN","","1","2.3256","School"
"Douglas","  Palisades School District Director #3","Molly Linville","","36","92.3077","School"
"Douglas","  Palisades School District Director #3","WRITE-IN","","3","7.6923","School"
"Douglas","  Palisades School District Director #4","Jeromy Riggs","","43","100","School"
"Douglas","  Palisades School District Director #4","WRITE-IN","","0","0","School"
"Douglas","  Palisades School District Director #5","Dean Pearson","","42","100","School"
"Douglas","  Palisades School District Director #5","WRITE-IN","","0","0","School"
"Douglas","  BREWSTER SCHOOL 111-203J Director District 1","Peggy Rice","","34","91.8919","School"
"Douglas","  BREWSTER SCHOOL 111-203J Director District 1","WRITE-IN","","3","8.1081","School"
"Douglas","  BREWSTER SCHOOL 111-203J Director District 2","Hector D. Aparicio","","40","95.2381","School"
"Douglas","  BREWSTER SCHOOL 111-203J Director District 2","WRITE-IN","","2","4.7619","School"
"Douglas","  BREWSTER SCHOOL 111-203J Director District 3","Maria Maldonado","","41","97.619","School"
"Douglas","  BREWSTER SCHOOL 111-203J Director District 3","WRITE-IN","","1","2.381","School"
"Douglas","  BREWSTER SCHOOL 111-203J Director District 4 At Large ","Donald E Becker","","43","95.5556","School"
"Douglas","  BREWSTER SCHOOL 111-203J Director District 4 At Large ","WRITE-IN","","2","4.4444","School"
"Douglas","  LAKE CHELAN SCHOOL DISTRICT NO. 129 School Board Member Director District #2","Agustin Benegas","","45","93.75","School"
"Douglas","  LAKE CHELAN SCHOOL DISTRICT NO. 129 School Board Member Director District #2","WRITE-IN","","3","6.25","School"
"Douglas","  LAKE CHELAN SCHOOL DISTRICT NO. 129 School Board Member Director District #4 At Large","Andrew D. Baker","","14","30.4348","School"
"Douglas","  LAKE CHELAN SCHOOL DISTRICT NO. 129 School Board Member Director District #4 At Large","Kimberly Thorpe","","31","67.3913","School"
"Douglas","  LAKE CHELAN SCHOOL DISTRICT NO. 129 School Board Member Director District #4 At Large","WRITE-IN","","1","2.1739","School"
"Douglas","  LAKE CHELAN SCHOOL DISTRICT NO. 129 School Board Member Director District #5 At Large","Jeff Fehr","","50","98.0392","School"
"Douglas","  LAKE CHELAN SCHOOL DISTRICT NO. 129 School Board Member Director District #5 At Large","WRITE-IN","","1","1.9608","School"
"Douglas","  Quincy School Dist #144 SCHOOL DIRECTOR #02","Chris Baumgartner","","12","100","School"
"Douglas","  Quincy School Dist #144 SCHOOL DIRECTOR #02","WRITE-IN","","0","0","School"
"Douglas","  Quincy School Dist #144 SCHOOL DIRECTOR #03","Susan Lybbert","","13","100","School"
"Douglas","  Quincy School Dist #144 SCHOOL DIRECTOR #03","WRITE-IN","","0","0","School"
"Douglas","  Quincy School Dist #144 SCHOOL DIRECTOR 4 At Large","Jack Foglesong","","8","53.3333","School"
"Douglas","  Quincy School Dist #144 SCHOOL DIRECTOR 4 At Large","Enrique &quot;Henry&quot; Hernandez","","7","46.6667","School"
"Douglas","  Quincy School Dist #144 SCHOOL DIRECTOR 4 At Large","WRITE-IN","","0","0","School"
"Douglas","  Coulee Hartline School Dist #151 SCHOOL DIRECTOR #02","Brian Isaak","","59","100","School"
"Douglas","  Coulee Hartline School Dist #151 SCHOOL DIRECTOR #02","WRITE-IN","","0","0","School"
"Douglas","  Coulee Hartline School Dist #151 SCHOOL DIRECTOR #04","Joshua Wood","","32","52.459","School"
"Douglas","  Coulee Hartline School Dist #151 SCHOOL DIRECTOR #04","William Murray","","29","47.541","School"
"Douglas","  Coulee Hartline School Dist #151 SCHOOL DIRECTOR #04","WRITE-IN","","0","0","School"
"Douglas","  Coulee Hartline School Dist #151 SCHOOL DIRECTOR 5 AT LARGE","Dawn Baergen","","53","100","School"
"Douglas","  Coulee Hartline School Dist #151 SCHOOL DIRECTOR 5 AT LARGE","WRITE-IN","","0","0","School"
"Douglas","  Ephrata School Dist #165 SCHOOL DIRECTOR #01","Alain Black","","6","100","School"
"Douglas","  Ephrata School Dist #165 SCHOOL DIRECTOR #01","WRITE-IN","","0","0","School"
"Douglas","  Ephrata School Dist #165 SCHOOL DIRECTOR #02","Bill Correll","","5","71.4286","School"
"Douglas","  Ephrata School Dist #165 SCHOOL DIRECTOR #02","Jordan Hansen","","2","28.5714","School"
"Douglas","  Ephrata School Dist #165 SCHOOL DIRECTOR #02","WRITE-IN","","0","0","School"
"Douglas","  Ephrata School Dist #165 SCHOOL DIRECTOR #03","Anita Waller","","6","100","School"
"Douglas","  Ephrata School Dist #165 SCHOOL DIRECTOR #03","WRITE-IN","","0","0","School"
"Douglas","  Ephrata School Dist #165 SCHOOL DIRECTOR #04","Jim Adams","","6","100","School"
"Douglas","  Ephrata School Dist #165 SCHOOL DIRECTOR #04","WRITE-IN","","0","0","School"
"Douglas","  Eastmont School District Director #1","Cindy Wright","","3715","61.2632","School"
"Douglas","  Eastmont School District Director #1","Sasha Sleiman","","2311","38.1102","School"
"Douglas","  Eastmont School District Director #1","WRITE-IN","","38","0.6266","School"
"Douglas","  Eastmont School District Director #2","Whitney Smith","","4079","67.9607","School"
"Douglas","  Eastmont School District Director #2","Nathan Medeiros","","1889","31.4728","School"
"Douglas","  Eastmont School District Director #2","WRITE-IN","","34","0.5665","School"
"Douglas","  Eastmont School District Director 5 @ Large","Meaghan Vibbert ","","3648","58.4615","School"
"Douglas","  Eastmont School District Director 5 @ Large","Lyle McClune","","2553","40.9135","School"
"Douglas","  Eastmont School District Director 5 @ Large","WRITE-IN","","39","0.625","School"
"Douglas","  Mansfield School District Director #3","Jesse Shafer","","115","59.8958","School"
"Douglas","  Mansfield School District Director #3","Justin Bowen","","76","39.5833","School"
"Douglas","  Mansfield School District Director #3","WRITE-IN","","1","0.5208","School"
"Douglas","  Mansfield School District Director 4 @ Large","Dusty Wittig","","131","67.8756","School"
"Douglas","  Mansfield School District Director 4 @ Large","Julie Caille","","62","32.1244","School"
"Douglas","  Mansfield School District Director 4 @ Large","WRITE-IN","","0","0","School"
"Douglas","  Waterville School District Director #2","Stephanie Stibal","","507","98.4466","School"
"Douglas","  Waterville School District Director #2","WRITE-IN","","8","1.5534","School"
"Douglas","  Waterville School District Director #3","Misty Viebrock ","","541","98.5428","School"
"Douglas","  Waterville School District Director #3","WRITE-IN","","8","1.4572","School"
"Douglas","  Waterville School District Director 5 @ Large","Zach Gormley","","536","98.893","School"
"Douglas","  Waterville School District Director 5 @ Large","WRITE-IN","","6","1.107","School"
"Douglas","  GRAND COULEE SCHOOL DIST #301 SCHOOL DIRECTOR At Large #3","George LaPlace","","65","97.0149","School"
"Douglas","  GRAND COULEE SCHOOL DIST #301 SCHOOL DIRECTOR At Large #3","WRITE-IN","","2","2.9851","School"
"Douglas","  GRAND COULEE SCHOOL DIST #301 SCHOOL DIRECTOR #04","Alexander Tufts","","63","98.4375","School"
"Douglas","  GRAND COULEE SCHOOL DIST #301 SCHOOL DIRECTOR #04","WRITE-IN","","1","1.5625","School"
"Douglas","  City of Bridgeport Mayor","Esiquio (Zeke) Martinez","","99","48.0583","City/Town"
"Douglas","  City of Bridgeport Mayor","Janet Conklin","","107","51.9417","City/Town"
"Douglas","  City of Bridgeport Mayor","WRITE-IN","","0","0","City/Town"
"Douglas","  City of Bridgeport Council Position 2","Anthony Jenkins","","130","93.5252","City/Town"
"Douglas","  City of Bridgeport Council Position 2","WRITE-IN","","9","6.4748","City/Town"
"Douglas","  City of Bridgeport Council Position 4","Qristian (Q) Solorio","","134","93.7063","City/Town"
"Douglas","  City of Bridgeport Council Position 4","WRITE-IN","","9","6.2937","City/Town"
"Douglas","  City of Bridgeport Council Position 5","Sergio Orozco","","141","93.3775","City/Town"
"Douglas","  City of Bridgeport Council Position 5","WRITE-IN","","10","6.6225","City/Town"
"Douglas","  CITY OF COULEE DAM Mayor","Bob Poch","","50","98.0392","City/Town"
"Douglas","  CITY OF COULEE DAM Mayor","WRITE-IN","","1","1.9608","City/Town"
"Douglas","  CITY OF COULEE DAM Council Pos. 2","Merv Schmidt","","49","98","City/Town"
"Douglas","  CITY OF COULEE DAM Council Pos. 2","WRITE-IN","","1","2","City/Town"
"Douglas","  CITY OF COULEE DAM Council Pos. 5","Keith St. Jeor","","47","100","City/Town"
"Douglas","  CITY OF COULEE DAM Council Pos. 5","WRITE-IN","","0","0","City/Town"
"Douglas","  City Of East Wenatchee MAYOR","Jerrilea Crawford","","1458","53.8405","City/Town"
"Douglas","  City Of East Wenatchee MAYOR","Timothy J &quot;Tim&quot; Detering","","1238","45.7164","City/Town"
"Douglas","  City Of East Wenatchee MAYOR","WRITE-IN","","12","0.4431","City/Town"
"Douglas","  City Of East Wenatchee Council Position 1","John D. Sterk","","1974","98.4539","City/Town"
"Douglas","  City Of East Wenatchee Council Position 1","WRITE-IN","","31","1.5461","City/Town"
"Douglas","  City Of East Wenatchee Council Position 2","Harry Raab","","1953","98.19","City/Town"
"Douglas","  City Of East Wenatchee Council Position 2","WRITE-IN","","36","1.81","City/Town"
"Douglas","  City Of East Wenatchee Council Position 5","Shayne L. Magdoff","","1910","98.759","City/Town"
"Douglas","  City Of East Wenatchee Council Position 5","WRITE-IN","","24","1.241","City/Town"
"Douglas","  City Of East Wenatchee Council Position 6","Marl Kane","","866","35.6379","City/Town"
"Douglas","  City Of East Wenatchee Council Position 6","Christine Johnson","","1553","63.9095","City/Town"
"Douglas","  City Of East Wenatchee Council Position 6","WRITE-IN","","11","0.4527","City/Town"
"Douglas","  CITY OF ROCK ISLAND Mayor","Randy Agnew","","77","80.2083","City/Town"
"Douglas","  CITY OF ROCK ISLAND Mayor","WRITE-IN","","19","19.7917","City/Town"
"Douglas","  CITY OF ROCK ISLAND Council Position 1","Tara Whaley","","87","89.6907","City/Town"
"Douglas","  CITY OF ROCK ISLAND Council Position 1","WRITE-IN","","10","10.3093","City/Town"
"Douglas","  CITY OF ROCK ISLAND Council Position 5","Carmen Andonaegui ","","90","90.9091","City/Town"
"Douglas","  CITY OF ROCK ISLAND Council Position 5","WRITE-IN","","9","9.0909","City/Town"
"Douglas","  Town of Mansfield Mayor","Thomas Snell","","67","77.907","City/Town"
"Douglas","  Town of Mansfield Mayor","WRITE-IN","","19","22.093","City/Town"
"Douglas","  Town of Mansfield Council Position 1","Clint Wall","","82","92.1348","City/Town"
"Douglas","  Town of Mansfield Council Position 1","WRITE-IN","","7","7.8652","City/Town"
"Douglas","  Town of Mansfield Council Position 3","Betty Wilsey","","75","93.75","City/Town"
"Douglas","  Town of Mansfield Council Position 3","WRITE-IN","","5","6.25","City/Town"
"Douglas","  Town of Mansfield Council Position 5","Luke Hall","","82","93.1818","City/Town"
"Douglas","  Town of Mansfield Council Position 5","WRITE-IN","","6","6.8182","City/Town"
"Douglas","  Town of Waterville Mayor","Jill Daling Thompson","","258","53.4161","City/Town"
"Douglas","  Town of Waterville Mayor","Loyd C. Smith","","207","42.8571","City/Town"
"Douglas","  Town of Waterville Mayor","WRITE-IN","","18","3.7267","City/Town"
"Douglas","  Town of Waterville Council Position 1","Michael J. Davies","","344","97.1751","City/Town"
"Douglas","  Town of Waterville Council Position 1","WRITE-IN","","10","2.8249","City/Town"
"Douglas","  Town of Waterville Council Position 3","Cody Preugschat","","265","57.2354","City/Town"
"Douglas","  Town of Waterville Council Position 3","Joanne Fragner","","194","41.9006","City/Town"
"Douglas","  Town of Waterville Council Position 3","WRITE-IN","","4","0.8639","City/Town"
"Douglas","  Town of Waterville Council Position 4","Jammie Peterson","","297","86.3372","City/Town"
"Douglas","  Town of Waterville Council Position 4","WRITE-IN","","47","13.6628","City/Town"
"Douglas","  Town of Waterville Council Position 5","Joyce Huber","","347","98.5795","City/Town"
"Douglas","  Town of Waterville Council Position 5","WRITE-IN","","5","1.4205","City/Town"
"Douglas","  Fire District  #1 Commissioner #1","Clark Bromiley","","222","100","Fire"
"Douglas","  Fire District  #1 Commissioner #1","WRITE-IN","","0","0","Fire"
"Douglas","  Fire District  #1 Commissioner #3","Gary Mullendore","","204","99.5122","Fire"
"Douglas","  Fire District  #1 Commissioner #3","WRITE-IN","","1","0.4878","Fire"
"Douglas","  Fire District  #2 Commissioner #3","Dave Fennell","","2996","53.0453","Fire"
"Douglas","  Fire District  #2 Commissioner #3","Bob Black","","2610","46.211","Fire"
"Douglas","  Fire District  #2 Commissioner #3","WRITE-IN","","42","0.7436","Fire"
"Douglas","  Fire District #4 Commissioner #2","Greg Nellist","","123","45.3875","Fire"
"Douglas","  Fire District #4 Commissioner #2","David Marden","","146","53.8745","Fire"
"Douglas","  Fire District #4 Commissioner #2","WRITE-IN","","2","0.738","Fire"
"Douglas","  Fire District #5 Commissioner #1","Douglas L. Tanneberg","","212","100","Fire"
"Douglas","  Fire District #5 Commissioner #1","WRITE-IN","","0","0","Fire"
"Douglas","  Fire District #5 Commissioner #2","Norman Tupling","","194","95.098","Fire"
"Douglas","  Fire District #5 Commissioner #2","WRITE-IN","","10","4.902","Fire"
"Douglas","  Fire District  #8 Commissioner #3","W. Paul Malone","","34","100","Fire"
"Douglas","  Fire District  #8 Commissioner #3","WRITE-IN","","0","0","Fire"
"Douglas","  DOUGLAS-OKANOGAN FIRE DISTRICT 15 Commissioner Pos. 3","Lonnie W. Fenton ","","95","100","Fire"
"Douglas","  DOUGLAS-OKANOGAN FIRE DISTRICT 15 Commissioner Pos. 3","WRITE-IN","","0","0","Fire"
"Douglas","  Cemetery District #1 Commissioner #3","Dennis Rose","","195","95.122","Cemetery"
"Douglas","  Cemetery District #1 Commissioner #3","WRITE-IN","","10","4.878","Cemetery"
"Douglas","  Cemetery District #2 Local Douglas County Cemetery District #2","Yes","","421","64.2748","Cemetery"
"Douglas","  Cemetery District #2 Local Douglas County Cemetery District #2","No","","234","35.7252","Cemetery"
"Douglas","  Cemetery District #3 Commissioner #2","Larry D. Tanneberg","","41","100","Cemetery"
"Douglas","  Cemetery District #3 Commissioner #2","WRITE-IN","","0","0","Cemetery"
