Number,Precinct,Office,District,Party,Candidate,Votes
321,Lind Rural,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,63
322,Fairview,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,30
323,Schrag,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,57
324,Hatton Rural,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,40
325,Cunningham,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,16
516,Othello Rural #6,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,R,Cathy McMorris Rodgers,210
111,Ritzville Ward #1,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,40
112,Ritzville Ward #2,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,35
113,Ritzville Ward #3,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,40
114,Ritzville Ward #4,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,54
115,Ritzville Ward #5,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,40
121,Ritzville Rural NW,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,23
122,Ritzville Rural SE,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,24
123,Batum,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,10
211,Benge,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,7
212,Washtucna City #1,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,18
221,Washtucna Rural,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,4
222,Ralston,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,5
311,Lind #1,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,83
313,Hatton City,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,4
321,Lind Rural,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,16
322,Fairview,CONGRESSIONAL DISTRICT 5 U.S. Representative,5,D,Daryl Romeyn,5
